,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/USD,$7020.30,"$101,337,000"
1,Bitcoin,BTC/EUR,$6993.13,"$85,587,100"
2,Ethereum,ETH/USD,$384.62,"$26,089,800"
3,Ethereum,ETH/EUR,$383.53,"$23,701,300"
4,Ripple,XRP/EUR,$0.485247,"$6,886,490"
5,Ripple,XRP/USD,$0.485510,"$4,460,510"
6,Litecoin,LTC/EUR,$118.89,"$3,460,340"
7,Bitcoin Cash,BCH/EUR,$663.30,"$2,725,520"
8,Ethereum,ETH/BTC,$385.19,"$2,515,210"
9,Litecoin,LTC/USD,$119.08,"$2,434,170"
10,Ripple,XRP/BTC,$0.487091,"$2,039,900"
11,Tether,USDT/USD,$1.00,"$1,981,810"
12,EOS,EOS/EUR,$5.67,"$1,587,280"
13,Stellar,XLM/EUR,$0.210629," $1,520,140"
14,Monero,XMR/EUR,$176.76,"$1,504,090"
15,Bitcoin Cash,BCH/USD,$663.70,"$1,396,000"
16,Ethereum Classic,ETC/EUR,$13.95,"$1,362,040"
17,EOS,EOS/USD,$5.69,"$1,360,420"
18,Dash,DASH/EUR,$296.00,"$1,312,520"
19,Stellar,XLM/BTC,$0.211517,"$1,277,280"
20,Stellar,XLM/USD,$0.211824,"$1,126,060"
21,Monero,XMR/USD,$177.51,"$1,056,560"
22,Ethereum Classic,ETC/USD,$13.99,"$999,936"
23,EOS,EOS/BTC,$5.67,"$974,567"
24,Monero,XMR/BTC,$177.31,"$822,866"
25,Bitcoin Cash,BCH/BTC,$664.06,"$728,680"
26,Litecoin,LTC/BTC,$119.12,"$703,799"
27,Dash,DASH/BTC,$295.48,"$500,072"
28,EOS,EOS/ETH,$5.73,"$465,043"
29,Zcash,ZEC/USD,$191.17,"$448,594"
30,Bitcoin,BTC/CAD,$6977.20,"$421,001"
31,Ethereum Classic,ETC/BTC,$13.93,"$272,816"
32,Dash,DASH/USD,$295.30,"$268,187"
33,Augur,REP/EUR,$24.78,"$203,854"
34,Zcash,ZEC/BTC,$191.19,"$191,868"
35,Zcash,ZEC/EUR,$190.79,"$183,488"
36,Ethereum Classic,ETC/ETH,$14.09,"$103,427"
37,Augur,REP/BTC,$25.01,"$95,072"
38,Iconomi,ICN/BTC,$0.728884,"$89,730"
39,Augur,REP/ETH,$24.87,"$61,955"
40,Bitcoin,BTC/JPY,$6987.03,"$38,410"
41,Ethereum,ETH/CAD,$375.43,"$34,160"
42,Dogecoin,DOGE/BTC,$0.002733,"$20,204"
43,Gnosis,GNO/BTC,$56.14,"$19,486"
44,Gnosis,GNO/EUR,$55.64,"$19,235"
45,Augur,REP/USD,$24.88,"$18,591"
46,Iconomi,ICN/ETH,$0.735221,"$15,874"
47,Ripple,XRP/CAD,$0.479389,"$15,112"
48,Ethereum,ETH/JPY,$382.57,"$11,860"
49,Melon,MLN/BTC,$47.99,"$9,912"
50,Gnosis,GNO/ETH,$56.76,"$8,425"
51,Gnosis,GNO/USD,$55.84,"$3,678"
52,Ripple,XRP/JPY,$0.521143,"$1,262"
53,Melon,MLN/ETH,$47.41,$932
54,Zcash,ZEC/JPY,$187.26,$569
55,Ethereum,ETH/GBP,$342.71,$366
