,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/USDT,$7012.36,"$322,861,000"
1,Ethereum,ETH/USDT,$384.73,"$74,576,000"
2,Ethereum,ETH/BTC,$384.79,"$57,197,600"
3,Litecoin,LTC/BTC,$119.12,"$44,741,300"
4,Litecoin,LTC/USDT,$119.23,"$40,526,000"
5,Bitcoin Cash,BCH/BTC,$663.98,"$37,669,200"
6,Ethereum Classic,ETC/USDT,$13.99,"$35,790,300"
7,EOS,EOS/USDT,$5.67,"$34,262,100"
8,Ethereum Classic,ETC/BTC,$13.98,"$32,889,300"
9,Bitcoin Cash,BCH/USDT,$664.33,"$32,729,800"
10,EOS,EOS/BTC,$5.67,"$12,750,800"
11,Ripple,XRP/USDT,$0.487460,"$8,953,250"
12,TRON,TRX/BTC,$0.032800,"$6,850,130"
13,Mithril,MITH/USDT,$0.427053,"$6,837,700"
14,Bytom,BTM/USDT,$0.470129,"$6,290,180"
15,Ripple,XRP/BTC,$0.486320,"$5,894,100"
16,Ethereum Classic,ETC/ETH,$14.09,"$5,011,550"
17,Hshare,HSR/BTC,$5.56,"$4,396,880"
18,Bytom,BTM/BTC,$0.474265,"$4,079,930"
19,Mithril,MITH/BTC,$0.428780,"$3,984,700"
20,NEO,NEO/USDT,$48.02,"$3,934,300"
21,EOS,EOS/ETH,$5.72,"$3,822,380"
22,Qtum,QTUM/USDT,$14.33,"$3,451,460"
23,TRON,TRX/ETH,$0.033079,"$3,301,920"
24,SwftCoin,SWFTC/BTC,$0.007779,"$3,160,060"
25,SunContract,SNC/BTC,$0.154397,"$2,818,380"
26,IOTA,IOTA/BTC,$1.04,"$2,787,010"
27,CyberMiles,CMT/USDT,$0.077637,"$2,672,280"
28,Qtum,QTUM/BTC,$14.30,"$2,631,620"
29,NEO,NEO/BTC,$48.11,"$2,603,310"
30,Cube,AUTO/BTC,$0.011354,"$2,342,400"
31,True Chain,TRUE/BTC,$0.503911,"$2,083,860"
32,INS Ecosystem,INS/BTC,$1.01,"$2,076,830"
33,Game.com,GTC/BTC,$0.042892,"$1,912,840"
34,TopChain,TOPC/USDT,$0.019434,"$1,817,980"
35,IOTA,IOTA/USDT,$1.04,"$1,779,720"
36,TopChain,TOPC/BTC,$0.019484,"$1,684,890"
37,Viberate,VIB/BTC,$0.116762,"$1,523,340"
38,Ripple,XRP/ETH,$0.490638,"$1,447,220"
39,DADI,DADI/BTC,$0.155379,"$1,278,940"
40,Arcblock,ABT/ETH,$0.559396,"$1,230,560"
41,CyberMiles,CMT/ETH,$0.077507,"$1,218,960"
42,IOStoken,IOST/USDT,$0.022339,"$1,164,130"
43,Revain,R/BTC,$0.839128,"$1,123,810"
44,Molecular Future,MOF/ETH,$0.178602,"$1,079,960"
45,Game.com,GTC/USDT,$0.043076,"$1,058,120"
46,Mithril,MITH/ETH,$0.430114,"$929,907"
47,IoT Chain,ITC/BTC,$0.770235,"$912,841"
48,YOYOW,YOYO/USDT,$0.069022,"$868,078"
49,TopChain,TOPC/ETH,$0.019581,"$867,804"
50,TRON,TRX/USDT,$0.032758,"$839,741"
51,ProChain,PRA/BTC,$0.186987,"$810,291"
52,Ontology,ONT/USDT,$2.13,"$799,646"
53,Bytom,BTM/ETH,$0.472652,"$726,535"
54,Nebulas,NAS/USDT,$4.75,"$715,137"
55,Internet Node Token,INT/BTC,$0.116692,"$687,657"
56,IOStoken,IOST/BTC,$0.022287,"$682,557"
57,aelf,ELF/USDT,$0.536546,"$678,397"
58,Bitcoin Diamond,BCD/BTC,$2.13,"$666,022"
59,ProChain,PRA/USDT,$0.188332,"$660,062"
60,Content and AD Network,CAN/USDT,$0.014726,"$655,777"
61,Ace,ACE/BTC,$0.269547,"$655,642"
62,YOYOW,YOYO/BTC,$0.068683,"$639,485 "
63,Nebulas,NAS/BTC,$4.74,"$628,020"
64,Revain,R/ETH,$0.846582,"$619,244"
65,aelf,ELF/BTC,$0.538603,"$613,072"
66,Bankex,BKX/USDT,$0.238220,"$607,097"
67,OFCOIN,OF/USDT,$0.001102,"$589,972"
68,Acute Angle Cloud,AAC/BTC,$0.072608,"$583,060"
69,All Sports,SOC/BTC,$0.029085,"$578,072"
70,All Sports,SOC/USDT,$0.029352,"$577,874"
71,True Chain,TRUE/USDT,$0.498479,"$574,045"
72,Show,SHOW/BTC,$0.002103,"$570,879"
73,Decentraland,MANA/BTC,$0.067772,"$562,791"
74,Ontology,ONT/BTC,$2.12,"$559,574"
75,Acute Angle Cloud,AAC/ETH,$0.072552,"$557,170"
76,StarChain,STC/BTC,$0.022638,"$504,873"
77,Nuls,NULS/BTC,$2.11,"$501,984"
78,SportyCo,SPF/BTC,$0.132461,"$492,814"
79,INS Ecosystem,INS/ETH,$1.02,"$472,047"
80,Show,SHOW/USDT,$0.002004,"$462,167"
81,Bitcoin Diamond,BCD/USDT,$2.07,"$452,224"
82,ICON,ICX/BTC,$2.12,"$452,008"
83,CyberMiles,CMT/BTC,$0.077023,"$435,868"
84,OFCOIN,OF/ETH,$0.001129,"$429,990"
85,OFCOIN,OF/BTC,$0.001051,"$427,347"
86,StarChain,STC/ETH,$0.022002,"$425,951"
87,Loopring,LRC/USDT,$0.380671,"$419,000"
88,True Chain,TRUE/ETH,$0.506193,"$410,149"
89,YOYOW,YOYO/ETH,$0.069254,"$405,261"
90,Decentraland,MANA/USDT,$0.068120,"$397,731"
91,Republic Protocol,REN/BTC,$0.034972,"$392,538"
92,NEO,NEO/ETH,$48.37,"$384,522"
93,IOTA,IOTA/ETH,$1.05,"$381,058"
94,Acute Angle Cloud,AAC/USDT,$0.072127,"$379,856"
95,Delphy,DPY/BTC,$0.657047,"$373,540"
96,Delphy,DPY/USDT,$0.656958,"$367,798"
97,Loopring,LRC/BTC,$0.377268,"$365,097"
98,OneRoot Network,RNT/BTC,$0.031959,"$347,559"
99,ProChain,PRA/ETH,$0.189023,"$346,571"
100,Exchange Union,XUC/USDT,$5.56,"$345,952"
101,OneRoot Network,RNT/ETH,$0.032202,"$339,348"
102,Genaro Network,GNX/BTC,$0.377338,"$338,919"
103,Bankex,BKX/BTC,$0.235275,"$336,290"
104,Qtum,QTUM/ETH,$14.42,"$326,562"
105,FairGame,FAIR/ETH,$0.016349,"$307,234"
106,StarChain,STC/USDT,$0.021538,"$280,915"
107,Arcblock,ABT/BTC,$0.554653,"$278,085"
108,OneRoot Network,RNT/USDT,$0.031956,"$270,412"
109,SelfSell,SSC/BTC,$0.035883,"$268,542"
110,ZenCash,ZEN/BTC,$17.84,"$268,400"
111,Cube,AUTO/USDT,$0.011420,"$264,645"
112,All Sports,SOC/ETH,$0.029382,"$262,918"
113,Viberate,VIB/ETH,$0.116696,"$236,281"
114,Refereum,RFR/BTC,$0.005397,"$234,362"
115,ugChain,UGC/ETH,$0.031682,"$231,759"
116,Hshare,HSR/USDT,$5.54,"$231,316"
117,Ace,ACE/USDT,$0.272781,"$230,378"
118,RealChain,RCT/USDT,$0.027048,"$225,146"
119,INS Ecosystem,INS/USDT,$1.01,"$223,732"
120,AI Doctor,AIDOC/BTC,$0.031468,"$222,015"
121,Super Bitcoin,SBTC/BTC,$7.52,"$221,154"
122,QunQun,QUN/BTC,$0.023268,"$220,885"
123,Primas,PST/USDT,$0.166794,"$219,254"
124,QunQun,QUN/ETH,$0.023725,"$215,381"
125,QunQun,QUN/USDT,$0.022640,"$214,091"
126,Game.com,GTC/ETH,$0.043725,"$211,117"
127,Maggie,MAG/BTC,$0.010232,"$204,908"
128,Hydro Protocol,HOT/USDT,$0.020837,"$199,178"
129,Kcash,KCASH/USDT,$0.070324,"$195,071"
130,Genaro Network,GNX/ETH,$0.375459,"$193,912"
131,Ontology,ONT/ETH,$2.11,"$189,975"
132,Hydro Protocol,HOT/BTC,$0.020465,"$186,970"
133,Hydro Protocol,HOT/ETH,$0.020501,"$179,145"
134,YEE,YEE/BTC,$0.009742,"$175,669"
135,Bitcoin Cash,BCH/ETH,$671.08,"$170,495"
136,BitcoinX,BCX/BTC,$0.004275,"$168,209"
137,YEE,YEE/ETH,$0.009804,"$167,218"
138,Kyber Network,KNC/BTC,$0.954909,"$166,170"
139,ugChain,UGC/BTC,$0.032379,"$165,504"
140,Litecoin,LTC/ETH,$119.86,"$165,319"
141,Genaro Network,GNX/USDT,$0.381873,"$164,434"
142,ugChain,UGC/USDT,$0.031355,"$160,633"
143,Dash,DASH/USDT,$297.79,"$159,960"
144,YEE,YEE/USDT,$0.009617,"$156,458"
145,Theta Token,THETA/BTC,$0.108492,"$154,511"
146,AI Doctor,AIDOC/ETH,$0.031686,"$151,238"
147,aelf,ELF/ETH,$0.540408,"$149,969"
148,Cube,AUTO/ETH,$0.011643,"$149,498"
