,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/KRW,$7193.79,"$122,890,000"
1,Storm,STORM/KRW,$0.030143,"$73,682,700"
2,Cardano,ADA/KRW,$0.154482,"$70,677,200"
3,TRON,TRX/BTC,$0.033010,"$32,332,100"
4,EOS,EOS/KRW,$5.84,"$28,990,900"
5,Ripple,XRP/KRW,$0.498300,"$21,440,100"
6,Ethereum,ETH/KRW,$394.68,"$17,014,100"
7,Verge,XVG/BTC,$0.046256 ,"$14,130,100"
8,Qtum,QTUM/KRW,$14.65,"$13,383,800"
9,SaluS,SLS/BTC,$48.14,"$9,446,360"
10,Status,SNT/KRW,$0.086378,"$8,515,160 "
11,Stellar,XLM/KRW,$0.218536,"$7,341,370"
12,Radium,RADS/BTC,$4.08,"$5,685,940"
13,NEO,NEO/KRW,$49.01,"$4,681,460"
14,Cardano,ADA/BTC,$0.149001,"$3,633,170"
15,Metal,MTL/KRW,$3.43,"$2,936,870"
16,DMarket,DMT/BTC,$0.492347,"$2,490,680"
17,Bitcoin,BTC/USDT,$7033.21,"$2,471,970"
18,ICON,ICX/KRW,$2.16,"$2,230,760"
19,Bitcoin Cash,BCC/KRW,$684.62,"$2,115,670"
20,Stellar,XLM/BTC,$0.212568,"$1,746,560"
21,Ripple,XRP/BTC,$0.486881,"$1,660,170"
22,Ethereum Classic,ETC/KRW,$14.40,"$1,607,580"
23,Blocktix,TIX/KRW,$0.263750,"$1,297,380"
24,Ethereum,ETH/BTC,$384.07,"$1,293,130"
25,Siacoin,SC/BTC,$0.010513,"$1,217,980"
26,NEM,XEM/KRW,$0.214768,"$1,144,670"
27,ReddCoin,RDD/BTC,$0.003855,"$960,285"
28,Qtum,QTUM/BTC,$14.32,"$946,290"
29,NEO,NEO/BTC,$48.01,"$905,856"
30,district0x,DNT/BTC,$0.054456,"$840,387"
31,Nexus,NXS/BTC,$1.48,"$831,080"
32,RevolutionVR,RVR/BTC,$0.071206,"$799,583"
33,Bitcoin Cash,BCC/BTC,$665.54,"$782,623"
34,True USD,TUSD/BTC,$1.01,"$753,906"
35,Lisk,LSK/KRW,$7.54,"$734,110"
36,BlockMason Credit Protocol,BCPT/BTC,$0.361499,"$725,207"
37,TRON,TRX/ETH,$0.033323,"$668,098"
38,Einsteinium,EMC2/KRW,$0.152598,"$636,230"
39,Blocktix,TIX/BTC,$0.258894,"$625,035"
40,Steem Dollars,SBD/KRW,$1.50 ,"$577,672"
41,Mercury,MER/KRW,$0.146005,"$571,979"
42,Litecoin,LTC/KRW,$122.46,"$551,363"
43,Bitcoin Gold,BTG/KRW,$42.29," $544,678"
44,Augur,REP/BTC,$24.80,"$536,843"
45,Synereo,AMP/BTC,$0.202406,"$518,998"
46,Lisk,LSK/BTC,$7.36,"$497,443"
47,OmiseGO,OMG/KRW,$8.51,"$492,836"
48,Edgeless,EDG/BTC,$0.502860,"$444,939"
49,Steem,STEEM/KRW,$1.48,"$425,166"
50,Status,SNT/BTC,$0.083611,"$387,313"
51,NEM,XEM/BTC,$0.209484,"$386,676"
52,UpToken,UP/BTC,$0.117392,"$376,581"
53,NuBits,NBT/BTC,$0.357924,"$353,427"
