,currency_name,currency_pairs,currency_prices,currency_volumes
0,EOS,EOS/KRW,$5.83,"$132,325,000"
1,Bitcoin,BTC/KRW,$7187.20,"$97,803,300"
2,Ripple,XRP/KRW,$0.498300,"$73,943,200"
3,Ethereum,ETH/KRW,$394.68,"$31,369,600"
4,ICON,ICX/KRW,$2.05,"$21,589,500"
5,Qtum,QTUM/KRW,$14.60,"$17,277,800"
6,Bitcoin Cash,BCH/KRW,$682.92,"$6,966,740"
7,Ethereum Classic,ETC/KRW,$14.36,"$6,226,500"
8,Litecoin,LTC/KRW,$122.46,"$2,446,530"
9,Bitcoin Gold,BTG/KRW,$42.39,"$2,320,130"
10,Monero,XMR/KRW,$182.55 ,"$1,339,830"
11,Dash,DASH/KRW,$304.25,"$709,768"
12,Zcash,ZEC/KRW,$196.87,"$550,910"
