,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/USD,$7005.52,"$430,728,000"
1,Ethereum,ETH/USD,$384.68,"$135,574,000"
2,EOS,EOS/USD,$5.67,"$46,730,200"
3,Bitcoin,BTC/EUR,$7003.35,"$23,332,100"
4,Litecoin,LTC/USD,$119.11,"$23,225,300"
5,Bitcoin Cash,BCH/USD,$664.42,"$21,393,300"
6,Ripple,XRP/USD,$0.485720,"$20,999,600"
7,IOTA,MIOTA/USD,$1.04,"$13,512,500"
8,Ethereum,ETH/BTC,$384.65,"$8,190,110"
9,Ethereum Classic,ETC/USD,$14.00,"$8,016,890"
10,NEO,NEO/USD,$48.08,"$7,420,710"
11,Bitcoin Cash,BCH/BTC,$665.79,"$6,322,170"
12,EOS,EOS/BTC,$5.68,"$5,317,400"
13,Monero,XMR/USD,$177.88,"$4,282,550"
14,Dash,DASH/USD,$297.21,"$3,823,700"
15,EOS,EOS/ETH,$5.78,"$3,669,820"
16,IOTA,MIOTA/BTC,$1.04,"$3,304,350"
17,Zcash,ZEC/USD,$191.70,"$2,859,600"
18,Ripple,XRP/BTC,$0.485970,"$2,305,050"
19,Litecoin,LTC/BTC,$119.23,"$2,289,650"
20,Dash,DASH/BTC,$296.34,"$2,235,230"
21,Monero,XMR/BTC,$177.77,"$1,470,530"
22,Bitcoin,BTC/GBP,$7002.17,"$1,431,650"
23,Bitcoin Gold,BTG/USD,$41.10,"$1,412,110"
24,Ethereum,ETH/EUR,$383.53 ,"$1,221,070"
25,Ethereum Classic,ETC/BTC,$14.00,"$869,481"
26,IOTA,MIOTA/EUR,$1.04,"$812,273"
27,Zcash,ZEC/BTC,$190.95,"$804,305 "
28,Metaverse ETP,ETP/USD,$0.647820,"$717,295"
29,NEO,NEO/BTC,$47.97,"$704,942"
30,IOTA,MIOTA/ETH,$1.05,"$585,367"
31,Bitcoin,BTC/JPY,$7011.82,"$548,322"
32,Bitcoin Gold,BTG/BTC,$41.31,"$386,616"
33,Qtum,QTUM/USD,$14.26,"$350,445"
34,Ethereum,ETH/GBP,$381.77,"$276,502"
35,Bitcoin Cash,BCH/ETH,$670.20,"$172,705"
36,EOS,EOS/EUR,$5.65,"$140,455"
37,Ethereum,ETH/JPY,$384.46,"$137,081"
38,NEO,NEO/ETH,$48.36,"$129,439"
39,EOS,EOS/JPY,$5.65,"$111,606"
40,EOS,EOS/GBP,$5.62,"$83,298"
41,Qtum,QTUM/BTC,$14.30,"$64,492 "
42,Metaverse ETP,ETP/BTC,$0.645834,"$52,271"
43,IOTA,MIOTA/GBP,$1.00,"$33,114"
44,IOTA,MIOTA/JPY,$1.02,"$33,050"
45,NEO,NEO/JPY,$47.67,"$26,650"
46,NEO,NEO/EUR,$47.90,"$22,738"
47,Metaverse ETP,ETP/ETH,$0.663406,"$21,335"
48,NEO,NEO/GBP,$47.51,"$14,117"
49,Qtum,QTUM/ETH,$14.46,"$13,323"
