,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/USDT,$7012.89,"$208,198,000"
1,EOS,EOS/USDT,$5.66,"$67,447,200"
2,Ethereum,ETH/USDT,$385.09,"$65,836,300"
3,Huobi Token,HT/USDT,$1.70,"$49,382,500"
4,Huobi Token,HT/BTC,$1.70,"$43,238,900"
5,Huobi Token,HT/ETH,$1.71,"$36,440,100"
6,Bitcoin Cash,BCH/USDT,$665.66,"$27,861,400"
7,TRON,TRX/ETH,$0.033215,"$25,167,000"
8,Litecoin,LTC/USDT,$119.27,"$21,132,100"
9,Ripple,XRP/USDT,$0.487159,"$18,748,800"
10,TRON,TRX/BTC,$0.032954,"$17,185,300"
11,Dash,DASH/USDT,$296.12,"$14,724,500"
12,IOStoken,IOST/USDT,$0.022220,"$12,810,500"
13,Ontology,ONT/BTC,$2.11,"$12,091,600"
14,Odyssey,OCN/BTC,$0.008603,"$11,853,500"
15,Arcblock,ABT/ETH,$0.561579,"$11,285,800"
16,Ethereum,ETH/BTC,$384.55,"$11,215,500"
17,Ethereum Classic,ETC/USDT,$13.97,"$11,140,900"
18,Ontology,ONT/ETH,$2.13,"$10,749,800"
19,Arcblock,ABT/BTC,$0.557912,"$8,941,670"
20,aelf,ELF/BTC,$0.541197,"$8,496,480"
21,Odyssey,OCN/ETH,$0.008666,"$7,954,720"
22,CyberMiles,CMT/ETH,$0.077173,"$6,795,250"
23,EOS,EOS/ETH,$5.72,"$6,127,120"
24,Elastos,ELA/BTC,$25.51,"$5,653,800"
25,Bytom,BTM/BTC,$0.471953,"$5,456,600"
26,Elastos,ELA/ETH,$25.76,"$4,768,350"
27,Medicalchain,MTN/ETH,$0.081815,"$4,360,830"
28,CoinMeet,MEE/BTC,$0.031784,"$4,083,220"
29,Bytom,BTM/ETH,$0.475430,"$4,081,670"
30,Propy,PROPY/BTC,$0.773143,"$4,022,390"
31,Zcash,ZEC/USDT,$190.83,"$4,007,940"
32,EOS,EOS/BTC,$5.67,"$3,838,520"
33,IOStoken,IOST/BTC,$0.022210,"$3,506,600"
34,Zilliqa,ZIL/USDT,$0.044294,"$3,500,060"
35,Bitcoin Cash,BCH/BTC,$665.11,"$3,275,410"
36,Kyber Network,KNC/BTC,$0.953472,"$3,189,380"
37,TRON,TRX/USDT,$0.032900,"$3,181,990"
38,Zilliqa,ZIL/BTC,$0.044382,"$3,169,390"
39,aelf,ELF/ETH,$0.544185,"$3,146,020"
40,Zilliqa,ZIL/ETH,$0.044784,"$3,138,760"
41,aelf,ELF/USDT,$0.540553,"$2,912,910"
42,IoT Chain,ITC/BTC,$0.769113,"$2,870,300"
43,DigixDAO,DGD/BTC,$223.53,"$2,817,620"
44,OmiseGO,OMG/USDT,$8.34,"$2,796,260"
45,MediShares,MDS/BTC,$0.083401,"$2,684,360"
46,Medicalchain,MTN/BTC,$0.080773,"$2,678,920"
47,Raiden Network Token,RDN/BTC,$1.26,"$2,658,570"
48,MediShares,MDS/USDT,$0.083528,"$2,632,720"
49,NEO,NEO/BTC,$48.10,"$2,626,810"
50,MediShares,MDS/ETH,$0.084182,"$2,621,880"
51,Qtum,QTUM/USDT,$14.35,"$2,617,820 "
52,Nebulas,NAS/BTC,$4.75,"$2,616,090"
