,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin Cash,BCH/BTC,$665.91,"$45,226,900"
1,Bitcoin,BTC/USDT,$7267.13,"$44,560,000"
2,Dash,DASH/BTC,$296.52,"$19,144,000"
3,Ethereum,ETH/BTC,$384.58,"$16,078,000"
4,Monero,XMR/BTC,$178.02,"$6,394,620"
5,Ethereum,ETH/USDT,$399.16,"$5,262,140"
6,Zcash,ZEC/BTC,$191.63,"$4,766,370"
7,Bitcoin Cash,BCH/USDT,$691.69,"$3,661,120"
8,Ripple,XRP/BTC,$0.487091,"$3,414,330"
9,Monero,XMR/USDT,$184.75,"$2,686,280"
10,Litecoin,LTC/USDT,$123.80," $2,457,350"
11,Dash,DASH/USDT,$307.40,"$2,367,900"
12,EOS,EOS/USDT,$5.89,"$2,259,100"
13,Zcash,ZEC/USDT,$198.60,"$1,945,810"
14,Noah Coin,NOAH/BTC,$0.009833,"$1,876,970"
15,Ormeus Coin,ORME/BTC,$2.03,"$1,471,440"
16,Litecoin,LTC/BTC,$119.36,"$1,450,940"
17,DigitalNote,XDN/BTC,$0.006546,"$1,422,170"
18,Bitcoin Cash,BCH/ETH,$671.03,"$1,019,670"
19,Bytecoin,BCN/BTC,$0.002171,"$1,003,470"
20,NEO,NEO/USDT,$49.80,"$878,843"
21,TRON,TRX/BTC,$0.033080,"$768,795"
22,Monero,XMR/ETH,$179.63,"$718,545"
23,EOS,EOS/BTC,$5.68,"$700,385"
24,NEM,XEM/BTC,$0.212007,"$660,450"
25,Ripple,XRP/USDT,$0.504289,"$598,634"
26,Verge,XVG/BTC,$0.046396,"$565,357"
27,SunContract,SNC/ETH,$0.154416,"$533,254"
28,TRON,TRX/USDT,$0.034170,"$523,748"
29,Bancor,BNT/USDT,$2.26,"$519,835"
30,Ardor,ARDR/BTC,$0.219058,"$501,053"
31,MaidSafeCoin,MAID/BTC,$0.241934,"$495,740"
32,Stox,STX/USDT, $0.196917,"$445,130"
33,TRON,TRX/ETH,$0.033366,"$418,104"
34,W3Coin,W3C/BTC,$0.000294,"$309,999"
35,Dogecoin,DOGE/BTC,$0.002775," $307,671"
36,Bancor,BNT/BTC,$2.19,"$299,252"
37,Ethereum Classic,ETC/USDT,$14.48,"$286,671"
38,OmiseGO,OMG/BTC,$8.49,"$283,653"
39,Cardano,ADA/BTC,$0.156290,"$248,456"
40,StockChain,SCC/BTC,$0.029450,"$245,082"
41,Eidoo,EDO/ETH,$1.63,"$239,174"
42,Emercoin,EMC/BTC,$2.19,"$229,582"
43,Crypterium,CRPT/BTC,$0.495711,"$226,481"
44,Ethereum Classic,ETC/BTC,$13.97,"$224,076"
45,Tezos (Pre-Launch),XTZ/BTC,$2.71,"$207,670"
46,Bitcoin Gold,BTG/USDT,$42.97,"$195,948 "
47,Dogecoin,DOGE/USDT,$0.002875,"$177,742"
48,iXledger,IXT/ETH,$0.295640,"$176,499"
49,Bitcoin Gold,BTG/BTC,$41.34,"$175,749"
50,Tezos (Pre-Launch),XTZ/USDT,$2.78,"$173,873"
51,SportyCo,SPF/ETH,$0.135405,"$165,006"
52,Animation Vision Cash,AVH/ETH,$0.005587,"$160,625"
53,Nxt,NXT/BTC,$0.110524,"$153,921"
54,BitAsean,BAS/ETH,$0.019787,"$152,988"
55,Verge,XVG/USDT,$0.047584,"$152,816"
56,Tierion,TNT/USDT,$0.072929,"$146,903"
57,NEO,NEO/BTC,$48.08,"$146,556"
58,Playkey,PKT/BTC,$0.306272,"$145,980"
59,Dash,DASH/ETH,$299.62,"$145,320"
60,Tezos (Pre-Launch),XTZ/ETH,$2.72,"$135,082"
61,BitRent,RNTB/ETH,$0.033405,"$129,570"
62,Sether,SETH/ETH,$0.262662,"$128,996"
63,Lisk,LSK/BTC,$7.33,"$127,392"
64,Blackmoon,BMC/USDT,$0.608834,"$117,490"
65,LIFE,LIFE/BTC,$0.000280,"$116,489"
66,Lamden,TAU/BTC,$0.084803,"$112,552"
67,0x,ZRX/USDT,$0.547335,"$111,639"
