,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/USDT,$7007.63,"$316,168,000"
1,TRON,TRX/BTC,$0.032940,"$62,197,600"
2,Ethereum,ETH/USDT,$385.05,"$61,743,500"
3,Binance Coin,BNB/USDT,$11.26,"$46,376,000"
4,Verge,XVG/BTC,$0.046396,"$44,563,800"
5,Ethereum,ETH/BTC,$385.19,"$43,404,000"
6,Binance Coin,BNB/BTC,$11.25,"$34,233,500"
7,EOS,EOS/BTC,$5.68,"$28,325,100"
8,Ripple,XRP/BTC,$0.486600,"$21,855,000"
9,NEO,NEO/USDT,$48.03,"$21,213,200"
10,ICON,ICX/BTC,$2.11,"$19,730,300"
11,NEO,NEO/BTC,$48.04,"$19,687,100"
12,Cardano,ADA/BTC,$0.149702,"$15,129,500"
13,Litecoin,LTC/USDT,$119.38,"$14,455,800"
14,Stellar,XLM/BTC,$0.210746,"$14,358,100"
15,Bitcoin Cash,BCC/BTC,$665.59,"$11,952,500"
16,TRON,TRX/ETH,$0.033207,"$11,463,500"
17,Ambrosus,AMB/BTC,$0.302907,"$10,955,800"
18,Litecoin,LTC/BTC,$119.38,"$10,727,400"
19,IOTA,IOTA/BTC,$1.04,"$10,657,400"
20,EOS,EOS/ETH,$5.72,"$10,540,300"
21,Genesis Vision,GVT/BTC,$20.85,"$9,885,740"
22,QLINK,QLC/BTC,$0.141432,"$9,767,900"
23,Neblio,NEBL/BTC,$7.39,"$8,620,630"
24,IOStoken,IOST/BTC,$0.022287,"$8,295,780"
25,Ontology,ONT/BTC,$2.12,"$7,922,820"
26,Metal,MTL/BTC,$3.34,"$7,515,380"
27,Aion,AION/BTC,$1.94,"$7,384,970"
28,Qtum,QTUM/BTC,$14.29,"$7,323,280"
29,Verge,XVG/ETH,$0.046682,"$6,908,600"
30,Nucleus Vision,NCASH/BTC,$0.026352,"$6,706,270"
31,Bitcoin Cash,BCC/USDT,$664.90,"$6,365,480"
32,DigixDAO,DGD/BTC,$224.54,"$6,240,260"
33,district0x,DNT/BTC,$0.054526,"$6,195,140"
34,Nano,NANO/BTC,$5.34,"$5,881,980"
35,aelf,ELF/BTC,$0.540005,"$5,587,760"
36,ChainLink,LINK/BTC,$0.271790,"$5,526,650"
37,Dash,DASH/BTC,$296.78,"$5,471,440"
38,Nuls,NULS/BTC,$2.09,"$5,075,710"
39,Enjin Coin,ENJ/BTC,$0.098470,"$5,032,530"
40,Monero,XMR/BTC,$178.02,"$4,851,760"
41,OmiseGO,OMG/BTC,$8.36,"$4,746,080"
42,Waves,WAVES/BTC,$3.57,"$4,703,660"
43,Storm,STORM/BTC,$0.029506,"$4,625,230"
44,Wanchain,WAN/BTC,$3.21,"$4,535,140"
45,Eidoo,EDO/BTC,$1.62,"$4,443,500"
46,Ethereum Classic,ETC/BTC,$14.00,"$4,349,330"
47,Stratis,STRAT/BTC,$3.43,"$3,849,550"
48,VeChain,VEN/BTC,$2.26,"$3,666,630"
49,Stellar,XLM/ETH,$0.212869,"$3,477,760"
50,Bitcoin Cash,BCC/BNB,$664.15,"$3,469,220"
51,Binance Coin,BNB/ETH,$11.34,"$3,374,520"
52,Status,SNT/BTC,$0.083962,"$3,271,980"
