,date,pairA,pairB,npiA,npiB
0,2017-01-01 00:00:00,0.0073569675,0.03681384,-1.0020808826104586,-1.23065667420373
1,2017-01-01 02:00:00,0.0072809174196918,0.036500641417980005,-1.0042462334533062,-1.2320213189371905
2,2017-01-01 04:00:00,0.007243395001126499,0.0373936650058155,-1.0053145978828608,-1.2281303053568102
3,2017-01-01 06:00:00,0.00735528,0.03774419999999999,-1.0021289302855234,-1.22660298128458
4,2017-01-01 08:00:00,0.0070457578057431,0.0364432424945481,-1.010941861731461,-1.2322714131044834
5,2017-01-01 10:00:00,0.0072698446601276,0.0367000469035396,-1.004561504773965,-1.231152484717262
6,2017-01-01 12:00:00,0.0071272499999269,0.037829999999611987,-1.0086215592328143,-1.2262291401361103
7,2017-01-01 14:00:00,0.0071576188816918,0.0374820315719784,-1.007756875284297,-1.2277452813622873
8,2017-01-01 16:00:00,0.007556630836055999,0.036788860649220004,-0.9963959290737562,-1.2307655123065955
9,2017-01-01 18:00:00,0.007297810008686998,0.0369988970440419,-1.0037652558965384,-1.2298503579078106
10,2017-01-01 20:00:00,0.007565119996691199,0.0376344599835396,-0.9961542197808533,-1.2270811320301762
11,2017-01-01 22:00:00,0.0074952347986499985,0.037216339186896805,-0.9981440398029732,-1.2289029357542187
12,2017-01-02 00:00:00,0.0074010349664472,0.036905295817844,-1.0008261630200663,-1.2302581899597713
13,2017-01-02 02:00:00,0.0073746399886432,0.0375113899422332,-1.0015776992078418,-1.2276173633331162
14,2017-01-02 04:00:00,0.0072963326400874,0.039931945672801,-1.0038073205640492,-1.2170707043780764
15,2017-01-02 06:00:00,0.0073260781667726,0.039198084433343806,-1.0029603852154247,-1.2202682280356136
16,2017-01-02 08:00:00,0.0073222879845272,0.0393241538556224,-1.0030683019235513,-1.2197189280609673
17,2017-01-02 10:00:00,0.007513545,0.0388596,-0.9976226990001068,-1.221743046332497
18,2017-01-02 12:00:00,0.0073136680486763,0.0379212162523856,-1.003313734739459,-1.225831699706621
19,2017-01-02 14:00:00,0.0076072000000000015,0.038323840000000005,-0.994956088624877,-1.2240774185307468
20,2017-01-02 16:00:00,0.0076017899973288,0.0380806649866188,-0.9951101259881043,-1.2251369619653931
21,2017-01-02 18:00:00,0.0072679427048397,0.0378906134319258,-1.0046156585693198,-1.2259650399583557
22,2017-01-02 20:00:00,0.00721053,0.03686625,-1.0062503530799762,-1.230428317389279
23,2017-01-02 22:00:00,0.0071533800053352,0.0389359900290396,-1.007877567523599,-1.2214102055828824
24,2017-01-03 00:00:00,0.0074586603269374985,0.039114243535195,-0.9991854136296465,-1.2206335331381128
25,2017-01-03 02:00:00,0.0073803827277938,0.0395436383757977,-1.001414187939877,-1.2187626070182551
26,2017-01-03 04:00:00,0.007430247094016999,0.0388911004921,-0.9999944149824801,-1.2216057948150463
27,2017-01-03 06:00:00,0.0072870840322014,0.037364166165111096,-1.0040706533679065,-1.2282588354330026
28,2017-01-03 08:00:00,0.007302391816789999,0.0373728513231,-1.0036347994657575,-1.2282209931316987
29,2017-01-03 10:00:00,0.0072145108000000015,0.0384501792,-1.006137008970407,-1.2235269431013958
30,2017-01-03 12:00:00,0.0071078736000698,0.0368224512003616,-1.009173257582006,-1.230619154144902
31,2017-01-03 14:00:00,0.0068108739631293005,0.038177544636375,-1.0176296380561394,-1.2247148454188665
32,2017-01-03 16:00:00,0.006069,0.040290000000000006,-1.038752790126966,-1.2155106176473083
33,2017-01-03 18:00:00,0.0061091009998806,0.0397142729992238,-1.0376110065346464,-1.218019130982372
34,2017-01-03 20:00:00,0.0064555259998744,0.040758217499207,-1.0277473527070624,-1.2134705364301905
35,2017-01-03 22:00:00,0.0065544719999999996,0.040249851,-1.0249300932919496,-1.2156855517771192
36,2017-01-04 00:00:00,0.006591899364911199,0.04099076662041299,-1.0238644352962238,-1.212457291314335
37,2017-01-04 02:00:00,0.006723637017856001,0.039291253823096,-1.0201135091080757,-1.2198622775481465
38,2017-01-04 04:00:00,0.006647233903398799,0.0408466172503439,-1.0222889117850436,-1.2130853678446558
39,2017-01-04 06:00:00,0.0066468342836372,0.0398280850466987,-1.022300290037165,-1.2175232378969394
40,2017-01-04 08:00:00,0.0065718676473156,0.0415367557126452,-1.0244347923083865,-1.2100783497034373
41,2017-01-04 10:00:00,0.0064907999993389,0.0446903999954482,-1.0267430068317982,-1.196337533784098
42,2017-01-04 12:00:00,0.006676389366243999,0.0454322823922604,-1.0214587771449537,-1.1931050609576659
43,2017-01-04 14:00:00,0.0065144999999999995,0.042919697500000006,-1.0260682039098417,-1.204052702286312
44,2017-01-04 16:00:00,0.006935619925367799,0.045845239702431186,-1.0140777841543382,-1.1913057551790955
45,2017-01-04 18:00:00,0.006664,0.044184,-1.0218115358077988,-1.198543980832344
46,2017-01-04 20:00:00,0.00660285,0.044895,-1.023552641188668,-1.195446066406191
47,2017-01-04 22:00:00,0.00682736,0.043736,-1.0171602361345566,-1.2004959719194277
48,2017-01-05 00:00:00,0.006774060000060001,0.043466885000385015,-1.0186778308474895,-1.2016685390637334
49,2017-01-05 02:00:00,0.006610299266130701,0.0459307713207739,-1.0233405404962117,-1.190933083400817
50,2017-01-05 04:00:00,0.00697305,0.046223650000000005,-1.013012049005549,-1.1896569749824102
51,2017-01-05 06:00:00,0.006478453259123,0.0476653631826094,-1.0270945518166892,-1.1833752533694981
52,2017-01-05 08:00:00,0.0059111800000554,0.040439300000378986,-1.0432463510609364,-1.2148600991873943
53,2017-01-05 10:00:00,0.006031668628113601,0.043495516551108,-1.0398157149424465,-1.2015437878766337
