,date,pairA,pairB,npiA,npiB
0,2017-01-01 00:00:00,0.011078955,3.867,-1.1159332413469079,-1.0382575129524043
1,2017-01-01 02:00:00,0.0111134847685797,3.803501311800845,-1.1157947991198711,-1.0411686409902272
2,2017-01-01 04:00:00,0.0110435250017175,3.7868102555889287,-1.1160752929177085,-1.041933850526005
3,2017-01-01 06:00:00,0.01108131,3.77843637,-1.1159237993072393,-1.0423177553564007
4,2017-01-01 08:00:00,0.0106602026445306,3.832747668530695,-1.1176121697339956,-1.039827827636518
5,2017-01-01 10:00:00,0.0107975708893048,3.897162973232746,-1.1170614111707935,-1.0368746768722865
6,2017-01-01 12:00:00,0.0107152499998901,3.858416249960426,-1.1173914651425108,-1.038651039119929
7,2017-01-01 14:00:00,0.010525910120135,3.8459815185556714,-1.1181505966310303,-1.0392211153886175
8,2017-01-01 16:00:00,0.0104102532701982,3.6990801665378283,-1.1186143064250982,-1.0459558788425007
9,2017-01-01 18:00:00,0.0103069070122689,3.861521200596589,-1.1190286586403646,-1.0385086911579582
10,2017-01-01 20:00:00,0.0103517399954724,3.9447070782746807,-1.1188489071304444,-1.034694994407246
11,2017-01-01 22:00:00,0.0105033223645082,4.003684600986079,-1.1182411590448942,-1.031991141385464
12,2017-01-02 00:00:00,0.01048729651116,4.018841889992343,-1.118305412438964,-1.0312962481482193
13,2017-01-02 02:00:00,0.0102009099842908,3.8953395440012537,-1.119453638743509,-1.0369582728663351
14,2017-01-02 04:00:00,0.0100159670594802,3.930825637647308,-1.120195141262599,-1.035331395759176
15,2017-01-02 06:00:00,0.0099039610265688,3.943294688361377,-1.1206442136217725,-1.034759746105172
16,2017-01-02 08:00:00,0.0098514348092664,3.999662136216797,-1.120854810066529,-1.0321755532261354
17,2017-01-02 10:00:00,0.01143051,3.98480394,-1.114523731259589,-1.0328567344099502
18,2017-01-02 12:00:00,0.0116672840776519,3.9744750704522183,-1.1135744190584655,-1.0333302664244268
19,2017-01-02 14:00:00,0.01191452,4.02101172,-1.1125831615696027,-1.0311967712432353
20,2017-01-02 16:00:00,0.011484644995964398,3.99438206859641,-1.1143066846441552,-1.0324176204770854
21,2017-01-02 18:00:00,0.0104812451280394,3.899063734033473,-1.1183296746043454,-1.0367875355750864
22,2017-01-02 20:00:00,0.01001745,4.11564645,-1.1201891956221688,-1.0268581963266836
23,2017-01-02 22:00:00,0.0101186700075468,4.1906375031255,-1.1197833683073084,-1.023420195266649
24,2017-01-03 00:00:00,0.01024665611811,4.163794555561022,-1.1192702260852507,-1.0246508231660425
25,2017-01-03 02:00:00,0.0104332708477865,4.107419406962569,-1.1185220207008262,-1.0272353690893639
26,2017-01-03 04:00:00,0.0102652036298885,4.0938000518,-1.11919586245809,-1.0278597550065418
27,2017-01-03 06:00:00,0.0100324980443333,4.10283243013029,-1.1201288626151507,-1.027445661258289
28,2017-01-03 08:00:00,0.009966093686159999,4.20242014505075,-1.1203951015043352,-1.0228800143551848
29,2017-01-03 10:00:00,0.0103778748,4.135486166000001,-1.1187441233253164,-1.0259486349617482
30,2017-01-03 12:00:00,0.0108349248001064,4.276944000042,-1.1169116459446533,-1.0194634322193266
31,2017-01-03 14:00:00,0.0102315819625485,4.204966392357471,-1.1193306637815479,-1.0227632804172713
32,2017-01-03 16:00:00,0.0106284,4.4369999999999985,-1.1177396779425812,-1.0121255875753852
33,2017-01-03 18:00:00,0.010846979999788,4.458149711912868,-1.1168633123252882,-1.011155968814942
34,2017-01-03 20:00:00,0.0108243134997894,4.451064617913398,-1.1169541904535818,-1.011480788372281
35,2017-01-03 22:00:00,0.010485081,4.242579051,-1.1183142952178422,-1.021038909910468
36,2017-01-04 00:00:00,0.010513662278212798,4.266794607908029,-1.1181997026222328,-1.0199287360050582
37,2017-01-04 02:00:00,0.0105897283031232,4.408499690317052,-1.117894726645747,-1.0134321980418002
38,2017-01-04 04:00:00,0.0107541236398936,4.392699624806223,-1.1172356067769187,-1.0141565596784337
39,2017-01-04 06:00:00,0.010795813645398,4.458787460990648,-1.117068456591887,-1.0111267309003633
40,2017-01-04 08:00:00,0.0108786741152166,4.606113566285051,-1.116736239248799,-1.0043724944273102
41,2017-01-04 10:00:00,0.0108539999988945,4.807209599510378,-1.1168351666310055,-0.9951531496310667
42,2017-01-04 12:00:00,0.011492145630419998,4.815756264176,-1.1142766119103684,-0.9947613236604274
43,2017-01-04 14:00:00,0.01137866,4.703534145000001,-1.1147316165066414,-0.9999062009305293
44,2017-01-04 16:00:00,0.0115518237256126,4.787976364203908,-1.1140373410219842,-0.9960349065956057
45,2017-01-04 18:00:00,0.0113792,4.6816,-1.1147294514529595,-1.0009117824048255
46,2017-01-04 20:00:00,0.01122375,4.60481445,-1.1153527062582493,-1.0044320530410245
47,2017-01-04 22:00:00,0.011553119999999998,4.83936,-1.11403214379303,-0.9936791989881963
48,2017-01-05 00:00:00,0.011764284200104202,4.711990975641736,-1.1131855107764963,-0.9995184934441155
49,2017-01-05 02:00:00,0.0117984171066739,5.051451894269944,-1.1130486597116003,-0.9839557436300685
50,2017-01-05 04:00:00,0.0116103,5.1524771,-1.1138028886642652,-0.9793241942663214
51,2017-01-05 06:00:00,0.0114777552431542,5.480553597727928,-1.1143343081343207,-0.9642833687284614
52,2017-01-05 08:00:00,0.0106700000001,4.972220000046599,-1.117572888621498,-0.9875881680990585
53,2017-01-05 10:00:00,0.010996363383383998,5.062682151756,-1.1162643807610768,-0.9834408870500854
54,2017-01-05 12:00:00,0.009950739181283,4.125421633324094,-1.120456663221591,-1.0264100483246277
