,date,pairA,pairB,npiA,npiB
0,2017-01-01 00:00:00,0.0398591025,0.006554565,-1.028529775808773,-0.7282277116796685
1,2017-01-01 02:00:00,0.0391229243409033,0.0065412991593801,-1.0321447776415256,-0.7282537570070039
2,2017-01-01 04:00:00,0.039158700006089994,0.006529665001015501,-1.0319691012870729,-0.7282765987907672
3,2017-01-01 06:00:00,0.03929268,0.006600396,-1.031311192712155,-0.7281377299415102
4,2017-01-01 08:00:00,0.0389203420240638,0.0065445547880979005,-1.0331395578283713,-0.7282473651078346
5,2017-01-01 10:00:00,0.0392922435249792,0.006538962154082601,-1.0313133360221414,-0.728258345338019
6,2017-01-01 12:00:00,0.0395752499995941,0.006512999999933201,-1.029923633119696,-0.7283093178185823
7,2017-01-01 14:00:00,0.04014533162098,0.0063938784264634,-1.0271242481058058,-0.7285431937155292
8,2017-01-01 16:00:00,0.0411239804446416,0.0063535356634734,-1.0223185944098325,-0.7286224001900976
9,2017-01-01 18:00:00,0.040287910047957,0.006378086007592199,-1.0264241169371966,-0.72857419956964
10,2017-01-01 20:00:00,0.04124599998196,0.006277439997254401,-1.0217194176404771,-0.7287718016937241
11,2017-01-01 22:00:00,0.0396547889080576,0.0063459654628569995,-1.0295330574196189,-0.7286372630516907
12,2017-01-02 00:00:00,0.0396319929107456,0.0063722811182096,-1.0296449971329125,-0.7285855965288263
13,2017-01-02 02:00:00,0.0390106299399244,0.0063717699901876,-1.0326961991423271,-0.7285866000458309
14,2017-01-02 04:00:00,0.0396376568736876,0.0063728746842488,-1.029617184250714,-0.72858443115814
15,2017-01-02 06:00:00,0.038077265798649805,0.006286773614601801,-1.0372794824680283,-0.7287534766492734
16,2017-01-02 08:00:00,0.037447690082428806,0.006363659752569601,-1.0403710131523778,-0.7286025231825232
17,2017-01-02 10:00:00,0.038621895,0.006335355,-1.034605081527545,-0.7286580949752913
18,2017-01-02 12:00:00,0.0395894242634884,0.0062964680419063,-1.0298540304164336,-0.728734443212968
19,2017-01-02 14:00:00,0.04006116,0.0063222,-1.0275375727342921,-0.7286839226850396
20,2017-01-02 16:00:00,0.0384289949864964,0.006351899997768,-1.035552316777242,-0.7286256115545283
21,2017-01-02 18:00:00,0.0380021160396709,0.0062948290372461,-1.0376485052556277,-0.728737661132895
22,2017-01-02 20:00:00,0.03824937,0.00628506,-1.036434365025168,-0.7287568410537245
23,2017-01-02 22:00:00,0.0382226900285076,0.006277040004681601,-1.0365653769883063,-0.728772587014292
24,2017-01-03 00:00:00,0.0405648243711925,0.0062858502893225,-1.0250643295356796,-0.7287552894487653
25,2017-01-03 02:00:00,0.044714017919085,0.0063421951853047,-1.0046897203534664,-0.7286446653804092
26,2017-01-03 04:00:00,0.043169121546231,0.0062737485793835,-1.0122759318571228,-0.7287790491942432
27,2017-01-03 06:00:00,0.042865200189419986,0.0062562780276463,-1.0137683372596853,-0.7288133497901695
28,2017-01-03 08:00:00,0.04186974725466001,0.00633008999375,-1.0186565075199818,-0.728668431961475
29,2017-01-03 10:00:00,0.0424196908,0.0063369324,-1.0159560105006815,-0.728654998006127
30,2017-01-03 12:00:00,0.041659471200409096,0.0064765152000636,-1.0196890677937525,-0.7283809498080355
31,2017-01-03 14:00:00,0.0421785513142671,0.0064545502131898,-1.0171401256120876,-0.7284240744986931
32,2017-01-03 16:00:00,0.044726999999999996,0.006456600000000001,-1.0046259718630763,-0.7284200500746125
33,2017-01-03 18:00:00,0.04502519999912,0.0064058579998748,-1.0031616611795477,-0.7285196737653218
34,2017-01-03 20:00:00,0.0423104219991768,0.006373289999876,-1.0164925747961004,-0.7285836157532389
35,2017-01-03 22:00:00,0.043433748,0.006419649,-1.0109764840216375,-0.728492597372439
36,2017-01-04 00:00:00,0.04276390410781,0.0064354460571997,-1.014265751528427,-0.7284615824117222
37,2017-01-04 02:00:00,0.0427371177947472,0.006534534726728799,-1.0143972856816998,-0.7282670378738324
38,2017-01-04 04:00:00,0.0478960723135025,0.0065096319276915,-0.9890642466476831,-0.7283159304823809
39,2017-01-04 06:00:00,0.0458081190757672,0.0065515771044131,-0.9993171381357654,-0.7282335779282413
40,2017-01-04 08:00:00,0.0475024802274414,0.0065612335572714,-0.9909969800422919,-0.7282146190486046
41,2017-01-04 10:00:00,0.0478655999951248,0.0064475999993433,-0.9892138809249602,-0.7284377201167787
42,2017-01-04 12:00:00,0.0490550444909928,0.006523160757838399,-0.9833731153719639,-0.7282893688177464
43,2017-01-04 14:00:00,0.04772957,0.0066339325,-0.9898818560280097,-0.7280718864608585
44,2017-01-04 16:00:00,0.0480741420275494,0.006675392750354001,-0.9881898355629708,-0.7279904859810231
45,2017-01-04 18:00:00,0.0470176,0.0065856000000000005,-0.9933779837289767,-0.7281667794887116
46,2017-01-04 20:00:00,0.044895,0.00640575,-1.0038010080952737,-0.7285198858055665
47,2017-01-04 22:00:00,0.04910928,0.006486560000000001,-0.9831067919799443,-0.7283612284718716
48,2017-01-05 00:00:00,0.0481071161004261,0.006277295600055601,-0.9880279164236841,-0.7287720851942135
49,2017-01-05 02:00:00,0.0475008596146225,0.0063599953352273,-0.9910049380592991,-0.7286097176718819
50,2017-01-05 04:00:00,0.0460061,0.0060570500000000005,-0.998344953080955,-0.7292045017226491
51,2017-01-05 06:00:00,0.0468283240889528,0.006019801700955,-0.9943074228285707,-0.729277632718951
52,2017-01-05 08:00:00,0.04313881000040429,0.0059965400000562,-1.0124247766610104,-0.7293233032973672
53,2017-01-05 10:00:00,0.0442140907920024,0.006042556116612001,-1.0071446118200427,-0.7292329581128636
