,date,pairA,pairB,npiA,npiB,spread
4816,2018-02-06 08:00:00,1.986151714541685,0.6533869755021786,0.1486694754461164,0.5417228587668053,-0.39305338332068884
4817,2018-02-06 10:00:00,1.9976768751493528,0.6417010507176699,0.15809411435894427,0.5187794400306295,-0.3606853256716852
4818,2018-02-06 12:00:00,2.129413,0.7149285,0.265820631216899,0.6625496647109868,-0.3967290334940878
4819,2018-02-06 14:00:00,2.23803,0.7243343999999999,0.354641606441623,0.6810166244313395,-0.32637501798971646
4820,2018-02-06 16:00:00,2.1826484600445606,0.6956536270602359,0.3093536461012605,0.6247065766286616,-0.3153529305274011
4821,2018-02-06 18:00:00,2.256914897904985,0.7444428139032837,0.3700846314647787,0.7204962350578745,-0.3504116035930958
4822,2018-02-06 20:00:00,2.37522872433,0.7633303996799999,0.4668351350290322,0.7575789475844087,-0.2907438125553765
4823,2018-02-06 22:00:00,2.27085599965896,0.7639035998852761,0.3814848934264898,0.7587043332575004,-0.37721943983101064
4824,2018-02-07 00:00:00,2.23117734,0.74756571,0.3490378800996739,0.726627535244875,-0.3775896551452011
4825,2018-02-07 02:00:00,2.0968550334460803,0.7076157663216128,0.23919652688099308,0.6481922977089515,-0.4089957708279584
4826,2018-02-07 04:00:00,2.1480499091188205,0.7267444117611059,0.28106086472646186,0.6857482918015988,-0.40468742707513694
4827,2018-02-07 06:00:00,2.3020712999553288,0.7440897999855609,0.4070110395569857,0.7198031494627363,-0.31279210990575057
4828,2018-02-07 08:00:00,2.38727453372005,0.772550782216562,0.47668553172011546,0.7756816738422827,-0.29899614212216724
4829,2018-02-07 10:00:00,2.4831983151195294,0.7962519507176719,0.5551266948082598,0.822215075647032,-0.2670883808387722
4830,2018-02-07 12:00:00,2.4510425999882446,0.7896311999962128,0.5288315294381141,0.8092163049933272,-0.28038477555521313
4831,2018-02-07 14:00:00,2.400783151345762,0.782810556560208,0.4877321320815102,0.7958250774021782,-0.30809294532066805
4832,2018-02-07 16:00:00,2.495304853375212,0.7906867742931164,0.5650267522068727,0.8112887539905268,-0.2462620017836541
4833,2018-02-07 18:00:00,2.4134493601152216,0.7756465500370305,0.49808985707210435,0.781759712057037,-0.28366985498493263
