,date,pairA,pairB,npiA,npiB,spread
4503,2018-01-11 06:00:00,0.07030635931893871,1.7243345814465718,3.1031650551296885,2.6443548558732437,0.45881019925644484
4504,2018-01-11 08:00:00,0.0713222348392056,1.7593720169064002,3.164661126532265,2.7131451799614346,0.4515159465708303
4505,2018-01-11 10:00:00,0.0687294999998978,1.685419499997494,3.007709803633835,2.5679514025477386,0.43975840108609665
4506,2018-01-11 12:00:00,0.06954520000944879,1.6835962002287428,3.0570882412767175,2.564371649053904,0.4927165922228136
4507,2018-01-11 14:00:00,0.0709782430612632,2.2118052507394417,3.143837568412971,3.601424483945505,-0.4575869155325343
4508,2018-01-11 16:00:00,0.0722425500001593,1.9931325000043951,3.2203724471830597,3.172095990153006,0.04827645703005379
4509,2018-01-11 18:00:00,0.0763315828170025,2.0390291290853577,3.467902237059286,3.2622065803717106,0.2056956566875754
4510,2018-01-11 20:00:00,0.0785480000001168,1.9680040000029264,3.6020731533098167,3.1227602543531345,0.47931289895668217
4511,2018-01-11 22:00:00,0.0750979675790615,1.9316792262415945,3.393225281819932,3.051442450219405,0.3417828316005269
4512,2018-01-12 00:00:00,0.0746972387565102,1.9585937280403238,3.3689671440923785,3.1042847109930154,0.2646824330993631
4513,2018-01-12 02:00:00,0.0785087999999424,2.084026999998471,3.599700179494016,3.35055260463883,0.2491475748551859
4514,2018-01-12 04:00:00,0.0804050877408784,2.0076824442325414,3.7144920452196444,3.2006624467381877,0.5138295984814567
4515,2018-01-12 06:00:00,0.0812293787826888,2.03754901476711,3.764390541395985,3.2593006158710676,0.5050899255249175
4516,2018-01-12 08:00:00,0.0781070999998842,1.9700795999970795,3.575383251491357,3.1268353584354225,0.44854789305593457
4517,2018-01-12 10:00:00,0.0799811125808289,2.0166965350223665,3.688826689381094,3.218360152596351,0.47046653678474293
4518,2018-01-12 12:00:00,0.07945925000017251,2.047837610004446,3.6572357140281815,3.279500604583142,0.37773510944503963
4519,2018-01-12 14:00:00,0.0805294000004151,1.9661124000101349,3.7220172935755413,3.119046404442557,0.6029708891329841
4520,2018-01-12 16:00:00,0.08071257879728999,1.9702565531325,3.7331060304801347,3.127182777228329,0.6059232532518055
4521,2018-01-12 18:00:00,0.078924999989668,1.9524999997444,3.624894865038946,3.092320663428444,0.532574201610502
4522,2018-01-12 20:00:00,0.0801223910439308,1.9509665491567385,3.69737898765114,3.089309981809939,0.6080690058412008
4523,2018-01-12 22:00:00,0.080112658589516,2.017872119541792,3.696789833074939,3.2206682222088396,0.4761216108660995
4524,2018-01-13 00:00:00,0.0800604000001701,2.0846768000044293,3.693626356962267,3.351828381601834,0.341797975360433
4525,2018-01-13 02:00:00,0.0803996999996586,2.0645342999912333,3.7141658980567867,3.31228184842469,0.40188404963209656
4526,2018-01-13 04:00:00,0.08193399999999999,2.046362,3.807044819235218,3.276603483572387,0.530441335662831
4527,2018-01-13 06:00:00,0.08164580999954481,2.070417209988457,3.7895992242859036,3.3238319884386374,0.4657672358472662
4528,2018-01-13 08:00:00,0.08166074674953999,2.0518860331084414,3.7905034211347313,3.2874490269980545,0.5030543941366767
4529,2018-01-13 10:00:00,0.08079750000000001,2.04231,3.738246739396987,3.2686480385020733,0.4695987008949136
4530,2018-01-13 12:00:00,0.081368000000056,2.0249008000013937,3.77278198317311,3.2344678967678604,0.5383140864052498
4531,2018-01-13 14:00:00,0.078347500000055,1.9876048500013952,3.5899358765726257,3.1612433455412616,0.42869253103136407
4532,2018-01-13 16:00:00,0.076650549086131,1.9897622910433408,3.487210874850052,3.165479131252426,0.3217317435976259
