,date,pairA,pairB,npiA,npiB,spread
4525,2018-01-13 02:00:00,35.99589239984715,106.83806039954635,2.0214236706372124,3.6825004981940967,-1.6610768275568843
4526,2018-01-13 04:00:00,36.042156,107.42981599999999,2.0257994522768104,3.709629819584426,-1.6838303673076158
4527,2018-01-13 06:00:00,37.110531719793094,107.37945008940132,2.1268503614887515,3.707320770080373,-1.5804704085916215
4528,2018-01-13 08:00:00,36.19999600603607,108.2561607696202,2.040728541196065,3.747513994769348,-1.706785453573283
4529,2018-01-13 10:00:00,37.12125,108.6204825,2.12786413589417,3.7642165005088417,-1.6363523646146718
4530,2018-01-13 12:00:00,37.92765900002611,108.2407991000745,2.2041372682198572,3.746809731607533,-1.5426724633876758
4531,2018-01-13 14:00:00,37.177740600026105,103.73009570007281,2.1332072248363922,3.540014355034354,-1.4068071301979619
4532,2018-01-13 16:00:00,41.142862764239055,102.70872706227385,2.5082430782417227,3.4931892163933185,-0.9849461381515958
4533,2018-01-13 18:00:00,40.688497675538,100.9057818194864,2.4652675552334897,3.4105323207031892,-0.9452647654696995
4534,2018-01-13 20:00:00,41.59647356367768,102.01913812915859,2.55114725779431,3.461574678602114,-0.910427420807804
4535,2018-01-13 22:00:00,42.17578139373524,105.62837998431006,2.60594032530454,3.6270421151397163,-1.0211017898351762
4536,2018-01-14 00:00:00,45.25140247077985,102.1842910337552,2.8968438908469656,3.469146193301617,-0.5723023024546516
4537,2018-01-14 02:00:00,45.53328483813319,101.29994044479336,2.9235053630090113,3.428602713305347,-0.5050973502963356
4538,2018-01-14 04:00:00,42.408227999846346,97.55978999964651,2.627925981151629,3.2571337092151653,-0.6292077280635362
4539,2018-01-14 06:00:00,43.21891042,98.6230042,2.7046033092872106,3.30587727788784,-0.6012739686006294
4540,2018-01-14 08:00:00,43.13253084025521,96.93191379057352,2.696433210595482,3.2283484210721807,-0.5319152104766989
4541,2018-01-14 10:00:00,45.2949136618769,94.94526256770963,2.900959339504019,3.1372694359738587,-0.2363100964698397
4542,2018-01-14 12:00:00,44.706583999801595,94.66447119957986,2.8453129539042257,3.124396420046704,-0.27908346614247836
4543,2018-01-14 14:00:00,41.36084733,91.4489163,2.528860861064959,2.9769777521843697,-0.44811689111941044
4544,2018-01-14 16:00:00,41.57456071065606,92.61170802664765,2.5490746594749747,3.0302865006576543,-0.48121184118267957
