,date,pairA,pairB,npiA,npiB,spread
551,2017-02-15 22:00:00,0.0251374852031203,0.14309186167298998,-1.0187514635804307,-0.7875252999653979,-0.2312261636150328
552,2017-02-16 00:00:00,0.0251269200002478,0.1437953400014181,-1.0188594607868788,-0.7874421234562345,-0.2314173373306443
553,2017-02-16 02:00:00,0.0254054399997519,0.14534655999858062,-1.016012437189758,-0.7872587133082678,-0.2287537238814903
554,2017-02-16 04:00:00,0.0234178297790696,0.1485356551702268,-1.0363297329323828,-0.7868816472451812,-0.24944808568720167
555,2017-02-16 06:00:00,0.024205342799398497,0.143331595099182,-1.0282797969999256,-0.7874969548285051,-0.24078284217142043
556,2017-02-16 08:00:00,0.024511619999762,0.14499962099859212,-1.0251490400767336,-0.7872997340103215,-0.23784930606641208
557,2017-02-16 10:00:00,0.025044736,0.143286372,-1.019699543324678,-0.7875023018297864,-0.23219724149489163
558,2017-02-16 12:00:00,0.025401375686753096,0.1444143825495963,-1.0160539824828585,-0.7873689303014488,-0.22868505218140966
559,2017-02-16 14:00:00,0.027944999999999998,0.1448793,-0.9900531263327893,-0.7873139602916972,-0.2027391660410921
560,2017-02-16 16:00:00,0.027836356000000003,0.1454865069,-0.9911636822434465,-0.7872421665373754,-0.2039215157060711
561,2017-02-16 18:00:00,0.02686854,0.14475348,-1.0010566701602093,-0.7873288367533593,-0.21372783340684998
562,2017-02-16 20:00:00,0.026904800000000003,0.1448096,-1.0006860214605993,-0.7873222013454076,-0.21336382011519162
563,2017-02-16 22:00:00,0.027089350712212204,0.1460704359969324,-0.9987995492737938,-0.7871731250588834,-0.2116264242149104
564,2017-02-17 00:00:00,0.026955821664961403,0.14615859926779998,-1.0001644794371607,-0.787162700980684,-0.21300177845647672
565,2017-02-17 02:00:00,0.0269406899997417,0.1460199999986,-1.0003191548932173,-0.787179088412846,-0.21314006648037132
566,2017-02-17 04:00:00,0.0268011600002582,0.14387718000138608,-1.0017454266214345,-0.7874324470167023,-0.21431297960473217
567,2017-02-17 06:00:00,0.026935199999742004,0.14348735999862566,-1.0003752735187206,-0.7874785377997746,-0.21289673571894596
568,2017-02-17 08:00:00,0.0261375,0.14244937500000002,-1.0085293404680675,-0.7876012650612421,-0.22092807540682546
569,2017-02-17 10:00:00,0.02652014,0.143365371,-1.004618005155911,-0.7874929612989103,-0.2171250438570007
570,2017-02-17 12:00:00,0.026450647041677995,0.14571613939127998,-1.0053283602202825,-0.7872150156952765,-0.21811334452500597
571,2017-02-17 14:00:00,0.0274551000054495,0.14590878002896113,-0.9950608702908456,-0.7871922386243736,-0.20786863166647196
572,2017-02-17 16:00:00,0.027732591000000004,0.148161288,-0.9922243651534035,-0.7869259109461461,-0.20529845420725745
573,2017-02-17 18:00:00,0.027646164002619003,0.147351204013959,-0.9931078194884965,-0.7870216920887415,-0.20608612739975496
574,2017-02-17 20:00:00,0.02645000000025,0.14748520000139398,-1.0053349742595512,-0.7870058489305001,-0.21832912532905113
575,2017-02-17 22:00:00,0.025393464054847003,0.14728209151811258,-1.0161348549615619,-0.7870298636782728,-0.2291049912832891
576,2017-02-18 00:00:00,0.025810295001465804,0.14721271000836042,-1.011874020755233,-0.7870380670749497,-0.2248359536802833
577,2017-02-18 02:00:00,0.0259932024097557,0.1474260387186144,-1.0100043463748771,-0.7870128439277592,-0.22299150244711796
578,2017-02-18 04:00:00,0.02566928,0.14711865999999998,-1.0133154721319237,-0.7870491871778242,-0.2262662849540995
579,2017-02-18 06:00:00,0.0249134400002336,0.14671840500137567,-1.0210416473394992,-0.7870965117537428,-0.23394513558575636
580,2017-02-18 08:00:00,0.0249484799904224,0.14631599994383002,-1.020683469545847,-0.7871440905441671,-0.23353937900167998
581,2017-02-18 10:00:00,0.024248532,0.14401417800000002,-1.027838318206761,-0.7874162489124729,-0.2404220692942881
582,2017-02-18 12:00:00,0.0236945194253229,0.14299626528014522,-1.033501419154684,-0.7875366029066885,-0.2459648162479956
583,2017-02-18 14:00:00,0.024126245,0.142895844,-1.0290883324794917,-0.7875484763236662,-0.24153985615582552
584,2017-02-18 16:00:00,0.023546200098707996,0.1414160217266168,-1.0350175351374986,-0.787723444685744,-0.24729409045175466
585,2017-02-18 18:00:00,0.0234612000002205,0.1362452000012805,-1.0358864037522564,-0.7883348222978739,-0.2475515814543825
586,2017-02-18 20:00:00,0.02384642,0.13715156,-1.0319486957549575,-0.788227657858413,-0.24372103789654453
587,2017-02-18 22:00:00,0.023408809117203003,0.139871072280513,-1.0364219418841334,-0.7879061134284298,-0.24851582845570364
588,2017-02-19 00:00:00,0.0232627500407925,0.1408319502469565,-1.0379149536529642,-0.7877925029990094,-0.2501224506539548
589,2017-02-19 02:00:00,0.0237272036922228,0.1468464371112256,-1.033167321498199,-0.7870813737409175,-0.24608594775728143
