,date,pairA,pairB,npiA,npiB,spread
4012,2017-12-01 08:00:00,4.84448966,0.22108704,0.17098719154185515,-0.16733701475174007,0.3383242062935952
4013,2017-12-01 10:00:00,5.0294265000000005,0.2225815,0.22790912762436705,-0.16273041150763096,0.390639539131998
4014,2017-12-01 12:00:00,5.314535944157,0.2346777773065,0.31566331200875014,-0.12544420091533176,0.4411075129240819
4015,2017-12-01 14:00:00,5.087471999927462,0.231229599996703,0.24577502301194032,-0.13607304663992428,0.3818480696518646
4016,2017-12-01 16:00:00,4.9933154,0.2290161,0.2167944480068868,-0.1428960571357875,0.3596905051426743
4017,2017-12-01 18:00:00,5.09022144,0.23397136,0.24662127653325985,-0.12762169931329342,0.3742429758465533
4018,2017-12-01 20:00:00,5.184864,0.234576,0.2757514257831622,-0.12575792471543315,0.4015093504985954
4019,2017-12-01 22:00:00,5.16729734068184,0.23357857442504,0.2703445622350904,-0.12883244252746448,0.3991770047625549
4020,2017-12-02 00:00:00,5.1800792637275,0.243954060920625,0.2742787259561569,-0.0968504893472033,0.3711292153033602
4021,2017-12-02 02:00:00,5.013539999995398,0.2457724499997745,0.22301940236553386,-0.09124538982559495,0.3142647921911288
4022,2017-12-02 04:00:00,5.1470496,0.25155900000000003,0.26411248537627224,-0.07340861935114994,0.3375211047274222
4023,2017-12-02 06:00:00,5.174626954239412,0.2534256912606111,0.2726005529529681,-0.06765463060813827,0.34025518356110634
4024,2017-12-02 08:00:00,5.2713366000567845,0.2573340000027721,0.3023669330737641,-0.05560745120513027,0.3579743842788944
4025,2017-12-02 10:00:00,5.2165800000857505,0.247470000004068,0.285513332224702,-0.08601277111594997,0.37152610334065195
4026,2017-12-02 12:00:00,5.220072,0.24848070000000003,0.286588139147536,-0.0828973355204294,0.3694854746679654
4027,2017-12-02 14:00:00,4.773684687353535,0.245034809002748,0.14919404244670437,-0.09351913379324228,0.24271317623994665
4028,2017-12-02 16:00:00,4.87748487,0.25072761,0.18114282756683026,-0.07597134024774145,0.2571141678145717
4029,2017-12-02 18:00:00,4.927783815881352,0.2521627045958853,0.19662440161381847,-0.07154772809284346,0.26817212970666193
4030,2017-12-02 20:00:00,5.06376461985446,0.2521189028956144,0.23847809951525248,-0.07168274479089189,0.3101608443061444
4031,2017-12-02 22:00:00,5.011952731995176,0.25114787380701503,0.2225308552071935,-0.07467589666492412,0.29720675187211765
4032,2017-12-03 00:00:00,4.910198000396759,0.254976247021778,0.1912116419658608,-0.06287511479669887,0.25408675676255965
4033,2017-12-03 02:00:00,5.149456614781733,0.2722502551975813,0.2648533433986947,-0.009628790303956197,0.2744821337026509
4034,2017-12-03 04:00:00,5.145730850195849,0.2690333000102396,0.2637065857617839,-0.01954490462094162,0.2832514903827255
4035,2017-12-03 06:00:00,5.2040725101027645,0.2778565400054868,0.2816636365915108,0.007652321123246793,0.27401131546826396
4036,2017-12-03 08:00:00,5.6728779926244055,0.270357747469845,0.4259578492060872,-0.015462357102727519,0.44142020630881473
4037,2017-12-03 10:00:00,5.63978751,0.27437181,0.41577288910356847,-0.0030891965808873306,0.4188620856844558
4038,2017-12-03 12:00:00,5.628197099898852,0.2751817499950545,0.41220546260840596,-0.0005925943240507845,0.41279805693245675
4039,2017-12-03 14:00:00,6.242073329999998,0.27490419,0.601151177980155,-0.0014481600626139396,0.602599338042769
4040,2017-12-03 16:00:00,5.841606400000001,0.27307,0.47789097199513036,-0.007101965185743845,0.4849929371808742
4041,2017-12-03 18:00:00,6.232920233237192,0.2776730067016569,0.5983339351371958,0.0070865882747095385,0.5912473468624863
4042,2017-12-03 20:00:00,5.554372810107106,0.2599562350050127,0.38948299419777127,-0.04752453411926774,0.43700752831703904
4043,2017-12-03 22:00:00,5.666507249959435,0.2700997499980664,0.4239969905325336,-0.016257622275744617,0.4402546128082782
4044,2017-12-04 00:00:00,5.82296529,0.27976296,0.4721534019580998,0.013528771835449925,0.45862463012264987
4045,2017-12-04 02:00:00,5.7471939000050565,0.2746992000002416,0.4488316331954496,-0.002080032175548966,0.4509116653709986
4046,2017-12-04 04:00:00,6.128086199892678,0.27739179999514196,0.5660669398467586,0.006219781718162714,0.5598471581285959
4047,2017-12-04 06:00:00,6.0584764806459726,0.2775561600295938,0.5446416792568051,0.00672641385813825,0.5379152653986669
4048,2017-12-04 08:00:00,5.935783319695247,0.2756738433976359,0.5068778012463528,0.0009242606367619095,0.505953540609591
4049,2017-12-04 10:00:00,5.75786,0.26447800000000005,0.4521145651529863,-0.033586404430277626,0.4857009695832639
4050,2017-12-04 12:00:00,5.8896362000945075,0.265854750004266,0.49267412288618767,-0.029342636757687578,0.5220167596438753
