,market,pair,trade_price,trade_volume
167,Binance,SNT/BTC,"$8,848.05 ","$3,986,910 "
168,CoinEgg,LSK/BTC,"$9,019.18 ","$3,911,480 "
169,Bit-Z,NULS/BTC,"$8,693.46 ","$3,902,880 "
170,Binance,ONT/BTC,"$8,704.60 ","$3,877,450 "
171,OKEx,NEO/BTC,"$8,623.85 ","$3,852,970 "
172,Binance,OST/BTC,"$8,692.82 ","$3,842,020 "
173,Tidex,ETH/BTC,"$8,689.95 ","$3,821,660 "
174,Bitinka,BTC/ARS,"$9,377.02 ","$3,777,890 "
175,xBTCe,BTC/USD,"$8,704.04 ","$3,762,320 "
176,YoBit,DASH/BTC,"$8,713.00 ","$3,750,310 "
177,Bibox,BBN/BTC,"$8,638.36 ","$3,715,560 "
178,Huobi,DASH/BTC,"$8,728.65 ","$3,707,560 "
179,Huobi,ITC/BTC,"$8,586.98 ","$3,687,870 "
180,Binance,WABI/BTC,"$8,643.70 ","$3,666,120 "
181,Bitcoin Indonesia,BTC/IDR,"$8,957.80 ","$3,662,560 "
182,Huobi,ZIL/BTC,"$8,706.54 ","$3,623,990 "
183,Huobi,IOST/BTC,"$8,693.99 ","$3,619,790 "
184,WEX,ETH/BTC,"$8,683.04 ","$3,611,550 "
185,CoinEgg,QTUM/BTC,"$8,759.30 ","$3,601,460 "
186,Huobi,XRP/BTC,"$8,693.96 ","$3,545,080 "
187,Kraken,EOS/BTC,"$8,710.34 ","$3,537,210 "
188,Huobi,PROPY/BTC,"$8,678.95 ","$3,524,480 "
189,Huobi,CMT/BTC,"$8,665.68 ","$3,506,330 "
190,Poloniex,STR/BTC,"$8,760.52 ","$3,496,740 "
191,Bittrex,XRP/BTC,"$8,682.35 ","$3,493,120 "
192,Huobi,BCH/BTC,"$8,711.64 ","$3,476,770 "
193,Binance,MCO/BTC,"$8,698.12 ","$3,474,290 "
194,Binance,POWR/BTC,"$8,696.80 ","$3,415,630 "
195,Binance,AST/BTC,"$8,769.56 ","$3,395,700 "
196,Binance,ZRX/BTC,"$8,692.68 ","$3,385,810 "
197,WEX,LTC/BTC,"$8,690.91 ","$3,366,280 "
198,Kraken,ETH/BTC,"$8,687.25 ","$3,365,000 "
199,Bittrex,LRC/BTC,"$8,536.60 ","$3,314,810 "
200,Bitfinex,XRP/BTC,"$8,704.44 ","$3,300,280 "
201,Bittrex,SLS/BTC,"$8,836.05 ","$3,258,830 "
202,Bittrex,XLM/BTC,"$8,811.41 ","$3,227,680 "
203,Huobi,NEO/BTC,"$8,642.13 ","$3,194,640 "
204,OKEx,INS/BTC,"$8,688.92 ","$3,138,660 "
205,BtcTrade.im,LTC/BTC,"$8,704.26 ","$3,116,190 "
206,Bit-Z,LSK/BTC,"$8,723.89 ","$3,108,020 "
207,Huobi,ZEC/BTC,"$8,686.32 ","$3,097,230 "
208,CoinEgg,XRP/BTC,"$8,389.92 ","$3,091,830 "
209,Huobi,NAS/BTC,"$8,682.06 ","$3,057,350 "
210,Lbank,NEO/BTC,"$8,597.24 ","$3,056,920 "
211,Huobi,MTN/BTC,"$8,741.92 ","$3,048,470 "
212,Huobi,VEN/BTC,"$8,664.90 ","$3,015,370 "
213,Liqui,TRX/BTC,"$8,663.95 ","$3,001,260 "
214,Bibox,CPC/BTC,"$8,679.04 ","$2,988,060 "
215,QuadrigaCX,BTC/CAD,"$8,816.54 ","$2,936,110 "
216,BTCTurk,BTC/TRY,"$8,616.62 ","$2,896,300 "
217,Bittrex,LTC/BTC,"$8,672.44 ","$2,895,640 "
218,Huobi,RDN/BTC,"$8,679.62 ","$2,872,960 "
219,Bit-Z,MCO/BTC,"$8,686.14 ","$2,870,170 "
220,WEX,DSH/BTC,"$8,720.64 ","$2,869,210 "
221,Huobi,KNC/BTC,"$8,660.73 ","$2,865,190 "
222,Bit-Z,HSR/BTC,"$8,634.46 ","$2,856,450 "
223,Upbit,BTC/USDT,"$8,718.09 ","$2,819,000 "
224,Huobi,MDS/BTC,"$8,687.80 ","$2,812,820 "
225,BTC Markets,BTC/AUD,"$8,766.77 ","$2,805,290 "
226,HitBTC,BCH/BTC,"$8,704.48 ","$2,798,530 "
227,Bitfinex,LTC/BTC,"$8,689.06 ","$2,798,000 "
228,OKEx,VIB/BTC,"$8,512.68 ","$2,783,310 "
229,OKEx,QTUM/BTC,"$8,680.68 ","$2,778,530 "
230,Binance,LSK/BTC,"$8,690.32 ","$2,771,070 "
231,Binance,REQ/BTC,"$8,689.13 ","$2,757,000 "
232,Huobi,DTA/BTC,"$8,635.20 ","$2,748,170 "
233,Poloniex,XEM/BTC,"$8,666.56 ","$2,736,860 "
234,OKEx,IOTA/BTC,"$8,684.48 ","$2,719,400 "
235,HitBTC,BCN/BTC,"$8,718.78 ","$2,718,020 "
236,WEX,BTC/RUR,"$8,713.86 ","$2,711,760 "
237,Tidex,TDX/BTC,"$8,688.40 ","$2,696,480 "
238,MBAex,BTC/USDT,"$8,381.53 ","$2,693,740 "
239,Binance,BTG/BTC,"$8,981.35 ","$2,663,260 "
240,OEX,BTC/CNY,"$9,011.82 ","$2,635,330 "
241,Kucoin,ETH/BTC,"$8,672.67 ","$2,627,020 "
242,ooobtc,ETH/BTC,"$8,772.80 ","$2,615,960 "
243,HitBTC,EOS/BTC,"$8,720.38 ","$2,608,920 "
244,GDAX,ETH/BTC,"$8,683.04 ","$2,565,590 "
245,Huobi,HSR/BTC,"$8,600.67 ","$2,549,350 "
246,BtcTrade.im,ETH/BTC,"$8,616.78 ","$2,533,580 "
247,Binance,VIBE/BTC,"$8,714.89 ","$2,488,470 "
248,Bittrex,NEO/BTC,"$8,637.25 ","$2,488,330 "
249,ACX,BTC/AUD,"$8,814.51 ","$2,487,680 "
250,Huobi,QTUM/BTC,"$8,667.56 ","$2,480,860 "
251,Upbit,UP/BTC,"$8,762.65 ","$2,472,120 "
252,Huobi,ICX/BTC,"$8,704.16 ","$2,450,090 "
253,Binance,RCN/BTC,"$8,657.65 ","$2,446,720 "
254,WEX,BTC/EUR,"$8,821.18 ","$2,445,340 "
255,Bitso,BTC/MXN,"$8,665.65 ","$2,368,720 "
256,Bittrex,TUSD/BTC,"$8,745.80 ","$2,351,720 "
257,Huobi,BTM/BTC,"$8,681.96 ","$2,350,380 "
258,Huobi,MTL/BTC,"$8,702.35 ","$2,341,650 "
259,RightBTC,BCC/BTC,"$8,756.00 ","$2,340,530 "
260,Huobi,XEM/BTC,"$8,843.42 ","$2,315,110 "
261,Binance,HSR/BTC,"$8,634.46 ","$2,310,550 "
262,Huobi,STORJ/BTC,"$8,702.77 ","$2,299,840 "
263,Bittrex,SC/BTC,"$8,671.13 ","$2,263,490 "
264,Bitinka,BTC/BRL,"$9,441.29 ","$2,252,290 "
265,OKEx,TRUE/BTC,"$8,899.09 ","$2,244,450 "
266,GDAX,BTC/GBP,"$8,746.67 ","$2,214,590 "
267,YoBit,BCC/BTC,"$8,677.69 ","$2,202,020 "
268,Livecoin,LTC/BTC,"$8,704.80 ","$2,190,270 "
269,Kraken,XRP/BTC,"$8,691.64 ","$2,170,400 "
270,OEX,XAS/BTC,"$8,470.25 ","$2,153,240 "
271,Huobi,ELF/BTC,"$8,703.79 ","$2,144,720 "
272,Binance,WTC/BTC,"$8,562.30 ","$2,134,130 "
273,Huobi,THETA/BTC,"$8,662.78 ","$2,128,330 "
274,Huobi,RUFF/BTC,"$8,735.38 ","$2,124,390 "
275,CoinEgg,QBT/BTC,"$8,805.41 ","$2,114,750 "
276,HitBTC,XDN/BTC,"$8,742.13 ","$2,080,730 "
277,Qryptos,DRG/BTC,"$8,457.42 ","$2,071,960 "
278,Binance,ZIL/BTC,"$8,661.18 ","$2,057,610 "
279,Huobi,RCN/BTC,"$8,681.97 ","$2,054,380 "
280,Binance,POE/BTC,"$8,793.36 ","$2,051,690 "
281,Kucoin,BTC/USDT,"$8,706.78 ","$2,046,850 "
282,Livecoin,XMR/BTC,"$8,690.02 ","$2,041,390 "
283,Huobi,SNT/BTC,"$8,826.94 ","$2,008,300 "
284,Exmo,ETH/BTC,"$8,652.08 ","$2,005,660 "
285,GDAX,LTC/BTC,"$8,686.28 ","$1,997,080 "
286,CoinEgg,ACT/BTC,"$8,425.12 ","$1,992,750 "
287,Bibox,BTC/USDT,"$8,721.29 ","$1,988,450 "
288,Bittrex,BCC/BTC,"$8,735.59 ","$1,958,230 "
289,Bitfinex,NEO/BTC,"$8,666.46 ","$1,957,470 "
290,Bitfinex,MIOTA/BTC,"$8,670.23 ","$1,955,970 "
291,Binance,TNT/BTC,"$8,686.33 ","$1,951,840 "
292,Bitinka,BTC/PEN,"$8,791.82 ","$1,931,470 "
293,Poloniex,XMR/BTC,"$8,709.69 ","$1,923,410 "
294,Upbit,ETH/BTC,"$8,691.48 ","$1,907,930 "
295,CoinEgg,RUFF/BTC,"$8,509.75 ","$1,878,390 "
296,Huobi,MTX/BTC,"$8,721.89 ","$1,875,230 "
297,RightBTC,ETH/BTC,"$8,719.10 ","$1,864,220 "
298,BCEX,LTC/BTC,"$8,680.16 ","$1,863,330 "
299,Binance,YOYO/BTC,"$8,630.31 ","$1,862,870 "
300,OKEx,ITC/BTC,"$8,492.47 ","$1,853,930 "
301,CoinEgg,BTM/BTC,"$8,640.25 ","$1,851,150 "
302,Binance,GTO/BTC,"$8,710.83 ","$1,849,580 "
303,Kraken,XLM/BTC,"$8,782.71 ","$1,848,050 "
304,Bitstamp,ETH/BTC,"$8,687.47 ","$1,846,920 "
305,Binance,DNT/BTC,"$8,676.73 ","$1,839,300 "
306,Bittrex,UP/BTC,"$8,762.65 ","$1,823,770 "
307,Upbit,XLM/BTC,"$8,757.36 ","$1,822,820 "
308,Poloniex,BCH/BTC,"$8,714.80 ","$1,811,760 "
309,Coinfloor,BTC/GBP,"$8,743.90 ","$1,811,600 "
310,BX Thailand,BTC/THB,"$8,774.56 ","$1,806,730 "
311,Poloniex,LSK/BTC,"$8,737.51 ","$1,797,400 "
312,TOPBTC,ETH/BTC,"$8,246.61 ","$1,796,770 "
313,HitBTC,XRP/BTC,"$8,712.61 ","$1,786,270 "
314,Bitfinex,ETC/BTC,"$8,706.20 ","$1,755,030 "
315,Huobi,GAS/BTC,"$8,681.47 ","$1,750,240 "
316,Upbit,SC/BTC,"$8,728.18 ","$1,745,490 "
317,OKEx,IOST/BTC,"$8,695.41 ","$1,735,210 "
318,OKEx,AIDOC/BTC,"$8,577.64 ","$1,712,390 "
319,Binance,VIB/BTC,"$8,882.35 ","$1,701,790 "
320,Huobi,PAY/BTC,"$8,717.20 ","$1,698,660 "
321,Huobi,QSP/BTC,"$8,696.41 ","$1,696,100 "
322,Lbank,ETC/BTC,"$8,631.46 ","$1,688,340 "
323,Liqui,SRN/BTC,"$8,649.35 ","$1,686,090 "
324,Bitstamp,XRP/BTC,"$8,699.78 ","$1,677,310 "
325,bitFlyer,ETH/BTC,"$8,631.45 ","$1,677,250 "
326,Binance,MOD/BTC,"$8,712.43 ","$1,674,050 "
327,Coinsquare,BTC/CAD,"$8,739.75 ","$1,668,230 "
328,Bitinka,BTC/CLP,"$9,291.86 ","$1,664,480 "
329,Binance,BCD/BTC,"$4,164.83 ","$1,662,120 "
330,Bibox,BTC/DAI,"$8,610.62 ","$1,661,850 "
331,Binance,CND/BTC,"$8,779.13 ","$1,657,040 "
332,Bit-Z,ZEC/BTC,"$8,746.94 ","$1,656,120 "
333,OEX,IHT/BTC,"$10,540.10 ","$1,655,820 "
334,CoinEgg,BCH/BTC,"$8,868.46 ","$1,647,760 "
335,Huobi,ETC/BTC,"$8,663.40 ","$1,642,820 "
336,OKEx,BTM/BTC,"$8,655.18 ","$1,635,040 "
337,YoBit,LTC/BTC,"$8,673.87 ","$1,626,000 "
338,BitcoinTrade,BTC/BRL,"$8,912.68 ","$1,615,780 "
339,Poloniex,LTC/BTC,"$8,695.54 ","$1,614,420 "
340,Huobi,LTC/BTC,"$8,693.46 ","$1,608,180 "
341,Bibox,C20/BTC,"$8,648.94 ","$1,606,200 "
342,Allcoin,OC/BTC,"$9,499.66 ","$1,594,480 "
343,Binance,LEND/BTC,"$8,666.06 ","$1,585,130 "
344,Huobi,GNT/BTC,"$8,677.93 ","$1,580,430 "
345,Octaex,ETH/BTC,"$8,746.63 ","$1,577,330 "
346,Huobi,WPR/BTC,"$8,695.13 ","$1,569,380 "
347,Bit-Z,BTX/BTC,"$8,655.18 ","$1,562,440 "
