,CoinA,CoinB
0,0.32939871103999785,0.0478203242862576
1,0.33151029910179997,0.048269356737350014
2,0.3376596850313628,0.0480677077286678
3,0.3382488999399235,0.049701499991172494
4,0.3601950000046729,0.0496725000006444
5,0.3601473216,0.048960964799999986
6,0.3384858280278648,0.048704954354491806
7,0.333305,0.047615
8,0.31467852,0.04632984
9,0.3167398039036353,0.04764958756756
10,0.3208115735959597,0.04716532799940601
11,0.3017008814374548,0.0437283730796311
12,0.2977003774801376,0.0435942089517128
13,0.27356695472583,0.0421732414876608
14,0.28412359960858397,0.0434782799401032
15,0.26251431959468097,0.043021827268145
16,0.2475627530413752,0.0413916109662312
17,0.2495856207739352,0.041001129098461306
18,0.25727029998038603,0.041396199996844005
19,0.2684438891535852,0.0432683782334694
20,0.27300880000000005,0.043631920000000005
21,0.2755791813937272,0.0442910120751736
22,0.2649510000896253,0.043011000014549404
23,0.25498627609907026,0.0428370428706838
24,0.25769699999999995,0.0432372
25,0.262267124020286,0.043697341537748
26,0.26398392390399994,0.043859656943999986
27,0.24576,0.042480000000000004
28,0.25256582505189,0.0428159208183204
29,0.2547520125071553,0.0430728250012098
30,0.2611633400003166,0.0433897400000526
31,0.25214904,0.043375199999999996
32,0.2563743948529506,0.043467187866943
33,0.2659240480166991,0.044531926693613104
34,0.2733705179278128,0.0449212409965728
35,0.26864520000000003,0.0458292
36,0.27029099999999995,0.0451766
37,0.267671744054,0.044838845873000015
38,0.2633687863828656,0.04459678414761601
39,0.26286345569700004,0.043444470858
40,0.266909999978517,0.0437059999964822
41,0.26699470000000003,0.043221499999999996
42,0.2701875,0.04339375
43,0.27204056545169,0.043824164039329996
44,0.272474905304448,0.043259071100256
45,0.25539506560383995,0.0420603748666324
46,0.239983679761664,0.0416024339586832
47,0.2466576064293005,0.0415715067015675
48,0.23873472,0.04093488
49,0.23933070000000004,0.04159512
50,0.233145,0.0410555
51,0.2234242708,0.040293411596
52,0.2221469571,0.040522669071
53,0.2218446038393592,0.0398417920028632
54,0.22405873589224265,0.0395668404245028
55,0.22250544358787,0.0390535416504227
56,0.22440835017549202,0.039917296685169
57,0.2136192200002813,0.0391850400000516
58,0.2004197654922183,0.0380347918330212
59,0.19975329,0.03796284
60,0.20013307757234094,0.038014104119886004
61,0.2259816193090512,0.042350994885066
62,0.24591799999999997,0.042312
63,0.23925534214400002,0.04239552079199999
64,0.23675309971050001,0.041707799948999986
65,0.2421847524140136,0.042430169608775985
66,0.24455075027705506,0.04235004503949
67,0.237270094,0.041688117999999996
68,0.2463247310074572,0.04252728937501799
69,0.2528781031462591,0.0438674805997898
70,0.2625706335856725,0.044660107765305
71,0.26773483583561003,0.04311336636633
72,0.2712338600968461,0.046057000016445
73,0.273025,0.04564375
74,0.28020194,0.04624107
75,0.259011634795,0.044872815033
76,0.276698133875218,0.045743756128532
77,0.2677954029133636,0.0446890998528634
78,0.2560570713079482,0.0437231898013572
79,0.2590322392121352,0.04435483548153
80,0.26769840000000006,0.045156
81,0.2660549500006286,0.0451184500001066
82,0.2687403978023661,0.0453430300818807
83,0.2790983996476697,0.0472415999403628
84,0.2894106598622316,0.047161229977549804
85,0.29431650390099995,0.048227956616
86,0.30455367220342583,0.0473671162195582
87,0.30175630925229124,0.048018924881016
88,0.3020815140643344,0.047877751930053
89,0.3056399337806041,0.04803949137121
90,0.296476,0.0468825
91,0.30304295,0.04777255
92,0.3000404993028144,0.04761827754957
93,0.3029726701893369,0.0475675200297264
94,0.30728859999932,0.0473585959998952
95,0.29791447535390003,0.04632260685028
96,0.3016965000003409,0.046639500000052715
97,0.3012436801021968,0.046913540015915405
98,0.2972722982691136,0.0469330440946144
99,0.307134,0.047565
100,0.307134,0.047565
101,0.3023944418028643,0.04683682767568875
102,0.30311105381741754,0.04675886386684399
103,0.3017764888123126,0.046683937842722595
104,0.3026675148765213,0.046578561763139764
105,0.30255805925078366,0.046434547952211705
106,0.30164775114264436,0.04631040814647404
107,0.30295764557448013,0.04623172735429684
108,0.3023885987580762,0.04620002575786416
109,0.3022146084309968,0.04615317628609774
110,0.3027265181348559,0.0461211777693096
