,close,date,high,low,open,volume
169,0.611930,2017. 10. 03.,0.677591,0.604276,0.656640,"134,476"
170,0.655255,2017. 10. 02.,0.701821,0.653548,0.686942,"135,513"
171,0.692522,2017. 10. 01.,0.704811,0.677441,0.687555,"185,092"
172,0.683192,2017. 09. 30.,0.690392,0.640885,0.642519,"186,656"
173,0.645319,2017. 09. 29.,0.677277,0.608284,0.673316,"218,358"
174,0.676221,2017. 09. 28.,0.719125,0.669328,0.706063,"168,825"
175,0.703118,2017. 09. 27.,0.710897,0.640076,0.649159,"201,339"
176,0.649730,2017. 09. 26.,0.679479,0.605406,0.621572,"239,843"
177,0.620475,2017. 09. 25.,0.623757,0.583903,0.591865,"129,433"
178,0.588074,2017. 09. 24.,0.608057,0.575761,0.608057,"79,366"
179,0.599213,2017. 09. 23.,0.604136,0.550690,0.558400,"155,477"
180,0.561949,2017. 09. 22.,0.602579,0.546870,0.565780,"125,118"
181,0.568891,2017. 09. 21.,0.639339,0.557024,0.637724,"334,093"
182,0.641984,2017. 09. 20.,0.676589,0.612809,0.641499,"287,567"
183,0.645111,2017. 09. 19.,0.678373,0.632889,0.665201,"260,436"
184,0.664019,2017. 09. 18.,0.746394,0.646360,0.681644,"475,418"
185,0.674043,2017. 09. 17.,0.792771,0.673522,0.785279,"1,007,790"
186,0.788043,2017. 09. 16.,0.825430,0.463226,0.554535,"1,698,880"
187,0.556243,2017. 09. 15.,0.580569,0.337512,0.455225,"695,952"
188,0.458720,2017. 09. 14.,0.784810,0.455018,0.774664,"618,250"
189,0.775586,2017. 09. 13.,0.889894,0.722681,0.778822,"719,922"
190,0.781306,2017. 09. 12.,0.841471,0.738158,0.753289,"595,823"
191,0.755877,2017. 09. 11.,0.787777,0.713806,0.730663,"295,854"
192,0.733691,2017. 09. 10.,0.807383,0.697667,0.807383,"263,444"
193,0.814464,2017. 09. 09.,0.830460,0.732321,0.816151,"587,810"
194,0.795924,2017. 09. 08.,1.07,0.755624,1.07,"560,709"
195,1.05,2017. 09. 07.,1.12,0.941366,1.12,"436,240"
196,1.12,2017. 09. 06.,1.15,1.00,1.02,"556,284"
197,1.02,2017. 09. 05.,1.07,0.864871,1.01,"555,011"
198,1.01,2017. 09. 04.,1.19,0.977478,1.15,"803,737"
199,1.15,2017. 09. 03.,1.21,1.08,1.15,"242,568"
200,1.18,2017. 09. 02.,1.29,1.10,1.22,"369,948"
201,1.27,2017. 09. 01.,1.29,1.12,1.25,"261,574"
202,1.23,2017. 08. 31.,1.26,1.20,1.21,"192,166"
203,1.21,2017. 08. 30.,1.27,1.19,1.27,"392,562"
204,1.26,2017. 08. 29.,1.28,1.20,1.21,"394,387"
205,1.22,2017. 08. 28.,1.35,1.14,1.21,"687,161"
206,1.21,2017. 08. 27.,1.33,1.19,1.31,"279,597"
207,1.31,2017. 08. 26.,1.44,1.29,1.32,"564,841"
208,1.34,2017. 08. 25.,1.87,1.13,1.16,"2,685,200"
209,1.16,2017. 08. 24.,1.18,1.07,1.10,"245,582"
210,1.09,2017. 08. 23.,1.17,1.09,1.12,"455,546"
211,1.13,2017. 08. 22.,1.19,0.987189,1.17,"964,351"
212,1.16,2017. 08. 21.,1.68,1.16,1.68,"1,416,880"
213,1.65,2017. 08. 20.,1.66,0.820038,0.868226,"2,052,930"
214,0.855223,2017. 08. 19.,0.891953,0.822976,0.852844,"215,694"
215,0.857523,2017. 08. 18.,0.978441,0.830175,0.923483,"221,554"
