,close,date,high,low,open,volume
89,76.63,2017. 12. 22.,95.05,58.13,93.76,"5,163,150"
90,93.82,2017. 12. 21.,109.65,90.84,95.96,"7,503,270"
91,95.52,2017. 12. 20.,97.64,79.60,92.20,"6,906,580"
92,91.44,2017. 12. 19.,96.13,82.33,93.27,"8,885,100"
93,92.64,2017. 12. 18.,93.36,79.22,85.72,"6,894,280"
94,85.46,2017. 12. 17.,94.14,83.06,83.33,"6,839,700"
95,83.97,2017. 12. 16.,90.82,70.98,70.98,"6,277,910"
96,71.91,2017. 12. 15.,74.44,64.04,73.95,"3,811,390"
97,73.72,2017. 12. 14.,74.26,67.62,73.40,"3,369,950"
98,72.99,2017. 12. 13.,82.57,66.49,72.81,"7,515,370"
99,71.61,2017. 12. 12.,72.71,56.46,58.26,"4,423,800"
100,57.80,2017. 12. 11.,64.50,55.73,56.16,"2,280,320"
101,56.19,2017. 12. 10.,62.62,47.07,53.75,"4,826,340"
102,53.53,2017. 12. 09.,58.15,50.99,56.40,"2,095,120"
103,56.87,2017. 12. 08.,57.47,46.47,50.12,"5,471,720"
104,50.29,2017. 12. 07.,52.38,43.71,50.20,"5,119,330"
105,50.40,2017. 12. 06.,57.29,48.08,56.06,"5,100,420"
106,56.06,2017. 12. 05.,60.54,54.78,58.81,"3,611,860"
107,58.27,2017. 12. 04.,58.30,51.99,54.14,"2,959,120"
108,53.74,2017. 12. 03.,58.91,50.43,55.78,"3,757,050"
109,55.41,2017. 12. 02.,58.90,54.21,58.17,"3,053,320"
110,58.41,2017. 12. 01.,58.41,50.89,56.84,"3,625,560"
111,56.64,2017. 11. 30.,67.37,45.11,49.68,"9,936,510"
112,48.94,2017. 11. 29.,69.93,45.86,55.84,"10,574,400"
113,56.00,2017. 11. 28.,58.93,51.32,58.74,"7,372,390"
114,60.04,2017. 11. 27.,68.52,53.73,61.50,"11,913,600"
115,61.73,2017. 11. 26.,63.51,46.80,49.69,"16,942,800"
116,49.96,2017. 11. 25.,50.94,44.81,47.71,"5,058,140"
117,48.18,2017. 11. 24.,50.24,40.05,43.34,"7,656,400"
118,42.97,2017. 11. 23.,45.37,38.67,40.39,"5,145,980"
119,40.42,2017. 11. 22.,40.74,33.49,34.11,"2,837,990"
120,34.14,2017. 11. 21.,35.06,32.06,33.67,"1,105,250"
