,close,date,high,low,open,volume
119,10.09,2017. 11. 22.,10.16,9.54,10.16,"750,517"
120,10.16,2017. 11. 21.,10.56,9.23,9.59,"1,034,350"
121,9.60,2017. 11. 20.,9.88,8.77,9.30,"857,171"
122,9.41,2017. 11. 19.,10.60,8.90,9.99,"1,100,540"
123,10.02,2017. 11. 18.,10.12,9.21,9.27,"1,178,710"
124,9.29,2017. 11. 17.,9.49,9.07,9.24,"1,079,540"
125,9.27,2017. 11. 16.,9.56,8.85,8.97,"1,364,430"
126,8.97,2017. 11. 15.,9.58,8.32,8.73,"1,501,120"
127,8.70,2017. 11. 14.,9.51,8.44,8.51,"1,718,440"
128,8.46,2017. 11. 13.,8.61,6.41,6.59,"1,563,950"
129,6.60,2017. 11. 12.,7.00,5.68,6.31,"668,876"
130,6.31,2017. 11. 11.,6.48,5.79,6.14,"612,914"
131,6.19,2017. 11. 10.,7.00,5.92,6.41,"716,782"
132,6.40,2017. 11. 09.,7.77,5.05,5.08,"1,153,120"
133,5.10,2017. 11. 08.,5.52,4.22,4.26,"1,049,200"
134,4.21,2017. 11. 07.,4.21,3.78,4.10,"468,627"
135,4.10,2017. 11. 06.,4.26,3.59,3.74,"447,691"
136,3.80,2017. 11. 05.,3.81,3.46,3.79,"297,043"
137,3.79,2017. 11. 04.,3.86,3.37,3.65,"403,380"
138,3.68,2017. 11. 03.,3.75,3.28,3.34,"313,075"
139,3.26,2017. 11. 02.,3.72,3.10,3.67,"369,819"
140,3.66,2017. 11. 01.,3.96,3.39,3.79,"446,220"
141,3.80,2017. 10. 31.,3.91,3.42,3.49,"368,400"
142,3.48,2017. 10. 30.,3.76,3.31,3.33,"326,602"
143,3.34,2017. 10. 29.,3.66,3.28,3.37,"206,951"
144,3.37,2017. 10. 28.,3.83,3.37,3.77,"188,557"
145,3.74,2017. 10. 27.,3.78,3.24,3.60,"276,742"
146,3.60,2017. 10. 26.,4.33,3.60,4.09,"398,411"
147,4.09,2017. 10. 25.,4.54,3.21,3.26,"249,583"
148,3.26,2017. 10. 24.,3.67,2.91,3.12,"330,053"
149,3.12,2017. 10. 23.,3.25,2.59,2.85,"267,616"
150,2.85,2017. 10. 22.,3.07,2.68,3.05,"284,913"
151,3.05,2017. 10. 21.,3.26,2.74,3.00,"256,507"
152,3.01,2017. 10. 20.,3.40,2.93,3.17,"339,280"
153,3.16,2017. 10. 19.,3.17,2.95,3.16,"271,031"
154,3.16,2017. 10. 18.,3.17,2.82,3.05,"316,907"
155,3.05,2017. 10. 17.,3.73,1.93,3.24,"323,482"
156,3.26,2017. 10. 16.,4.10,3.13,3.36,"320,896"
157,3.36,2017. 10. 15.,3.39,2.91,3.12,"208,582"
158,3.11,2017. 10. 14.,3.20,2.99,3.12,"265,240"
159,3.11,2017. 10. 13.,3.29,2.94,3.14,"265,395"
160,3.14,2017. 10. 12.,3.20,2.58,3.13,"317,744"
161,3.13,2017. 10. 11.,3.26,2.87,3.10,"269,182"
162,3.09,2017. 10. 10.,3.13,2.28,2.71,"400,775"
163,2.71,2017. 10. 09.,2.79,2.15,2.57,"292,696"
164,2.57,2017. 10. 08.,2.67,2.38,2.47,"224,135"
165,2.49,2017. 10. 07.,2.80,2.49,2.74,"270,384"
166,2.74,2017. 10. 06.,3.05,2.58,2.83,"336,478"
167,2.83,2017. 10. 05.,2.91,2.31,2.35,"333,960"
168,2.34,2017. 10. 04.,2.51,2.34,2.38,"349,275"
169,2.37,2017. 10. 03.,2.50,2.20,2.48,"267,138"
170,2.48,2017. 10. 02.,2.54,2.37,2.44,"236,482"
171,2.44,2017. 10. 01.,2.70,2.33,2.33,"361,877"
172,2.33,2017. 09. 30.,2.55,2.14,2.30,"246,749"
173,2.30,2017. 09. 29.,2.54,2.16,2.46,"329,214"
174,2.46,2017. 09. 28.,2.53,2.30,2.45,"378,847"
175,2.46,2017. 09. 27.,2.73,2.27,2.73,"547,670"
176,2.63,2017. 09. 26.,2.99,2.30,2.58,"284,868"
177,2.58,2017. 09. 25.,2.87,2.46,2.46,"332,512"
178,2.46,2017. 09. 24.,2.89,2.40,2.84,"210,021"
179,2.84,2017. 09. 23.,2.86,2.55,2.59,"249,775"
180,2.60,2017. 09. 22.,2.92,2.46,2.47,"374,706"
181,2.47,2017. 09. 21.,2.95,2.44,2.94,"340,920"
182,2.95,2017. 09. 20.,3.16,2.86,2.93,"237,960"
183,2.93,2017. 09. 19.,3.35,2.72,3.34,"347,692"
184,3.33,2017. 09. 18.,3.35,2.91,2.91,"501,178"
185,2.92,2017. 09. 17.,2.98,2.57,2.79,"404,752"
186,2.79,2017. 09. 16.,3.13,2.71,3.01,"451,852"
187,3.01,2017. 09. 15.,3.17,2.32,2.65,"337,136"
188,2.64,2017. 09. 14.,3.43,2.58,3.28,"295,268"
189,3.29,2017. 09. 13.,3.35,2.90,3.23,"391,322"
190,3.19,2017. 09. 12.,4.11,3.12,3.27,"505,448"
191,3.29,2017. 09. 11.,13.06,3.01,3.51,"374,879"
192,3.50,2017. 09. 10.,9.16,3.17,3.66,"252,076"
193,3.67,2017. 09. 09.,3.76,3.25,3.36,"454,427"
194,3.56,2017. 09. 08.,4.12,3.07,3.93,"370,638"
195,3.93,2017. 09. 07.,4.17,3.80,4.17,"403,291"
196,4.17,2017. 09. 06.,4.18,3.70,3.93,"410,924"
197,3.92,2017. 09. 05.,4.01,3.38,3.63,"364,357"
198,3.62,2017. 09. 04.,6.18,3.24,3.88,"476,314"
199,3.85,2017. 09. 03.,4.24,3.69,3.75,"565,324"
200,3.75,2017. 09. 02.,4.37,3.55,4.07,"763,729"
