,weight
AMP,0.0175794998530145
ARDR,0.0
BCN,0.0
BCY,0.0717101629996072
BELA,0.01234512924957578
BLK,0.0
BTC,0.05492057039348
BTCD,0.039965861164894444
BTM,0.0
BTS,0.01573247418004128
BURST,0.0
CLAM,0.01183975032394934
DASH,0.009082710537442307
DCR,0.0
DGB,0.004362565893406899
DOGE,0.0
EMC2,0.021068237740691106
ETC,0.0
ETH,0.009261970754465831
EXP,0.0
FCT,0.01384423630583787
FLDC,0.007280308304428291
FLO,0.018462406846670276
GAME,0.07956440276553914
GRC,0.01809328585590768
HUC,0.003193832769816382
LBC,0.05260173989727125
LSK,0.03919815344277356
LTC,0.0
MAID,0.024813305132507624
NAV,0.014022999838434481
NEOS,0.0
NMC,0.013436333589923997
NXC,0.02403057333678275
NXT,0.008967053660712066
OMNI,0.014597878025838165
PINK,0.0
POT,0.022399590262072947
PPC,0.030458504351745675
RADS,0.002148116024692979
REP,0.0
RIC,0.07113696900102168
SBD,0.0
SC,0.00490703791741672
STEEM,0.01959946751370237
STR,0.05230249887563851
STRAT,0.0
SYS,0.029480600788650786
VIA,0.016044675639727602
VRC,0.017798552812728352
VTC,0.015183965649597498
XBC,0.025307599423195333
XCP,0.011220628143318687
XEM,0.02141073947165997
XMR,0.01700636510358651
XPM,0.01941843612505495
XRP,0.0
XVC,0.005349010159528047
ZEC,0.018851799873649155
