,weight
AMP,0.027795555182851303
ARDR,0.004852366062259199
BCN,0.0
BCY,0.010046900076254242
BELA,0.008665232718744113
BLK,0.005092236632864231
BTC,0.007748656505827646
BTCD,0.0
BTM,0.00572768645927047
BTS,0.0038724057520164064
BURST,0.01076049928901085
CLAM,0.011347967559695226
DASH,0.0
DCR,0.010965952455653002
DGB,0.009104661345566045
DOGE,0.0
EMC2,0.007967294407396361
ETC,0.025571619141318634
ETH,0.003501960241080973
EXP,0.0024312475121634368
FCT,0.048834694383700736
FLDC,0.0
FLO,0.027227532548884804
GAME,0.1716191799939969
GRC,0.01075531322689259
HUC,0.007474050429025924
LBC,0.006622065739377623
LSK,0.019975281653678956
LTC,0.10431190842800743
MAID,0.0
NAV,0.03991063440225339
NEOS,0.006083374542027834
NMC,0.016281262603441742
NXC,0.008321276686577036
NXT,0.07384198653677417
OMNI,0.015416211091556511
PINK,0.008829980328699357
POT,0.01644875312458605
PPC,0.0
RADS,0.0
REP,0.01073072764501951
RIC,0.03146217866080738
SBD,0.030287139404384548
SC,0.0
STEEM,0.014127736683368333
STR,0.010239613431852044
STRAT,0.0
SYS,0.00130668222369311
VIA,0.0
VRC,0.02152842969775057
VTC,0.0
XBC,0.0
XCP,0.005542194076785792
XEM,0.0792723260158921
XMR,0.008010957214339266
XPM,0.014866416187238081
XRP,0.010257708051174926
XVC,0.0
ZEC,0.024962143646241153
