,weight
AMP,0.014276018058080889
ARDR,0.0013316329922897767
BCN,0.0020900255670876443
BCY,0.013693756981523275
BELA,0.0
BLK,0.01927612457877075
BTC,0.008381320394074021
BTCD,0.0
BTM,0.0027486479190901207
BTS,0.01565848528534123
BURST,0.009502617241295495
CLAM,0.0004898191637280901
DASH,0.0028435200930484886
DCR,0.00706323748576609
DGB,0.008693692968817087
DOGE,0.01548148204134213
EMC2,0.0
ETC,0.0
ETH,0.007473762323176132
EXP,0.0051530216858805865
FCT,0.0015454713967000858
FLDC,0.005488039392642622
FLO,0.01235168030899574
GAME,0.0010945566687444845
GRC,0.010978879662896705
HUC,0.0041167922805092514
LBC,0.013520224780065676
LSK,0.004419831363994297
LTC,0.0
MAID,0.011790614775795249
NAV,0.03733110637017872
NEOS,0.002729633898738655
NMC,0.0005694376134216161
NXC,0.015657232628197473
NXT,0.008205566486282454
OMNI,0.020832926345680444
PINK,0.0
POT,0.014813106431742898
PPC,0.08622541511701971
RADS,0.0
REP,0.005756210638335653
RIC,0.23428362340718845
SBD,0.0
SC,0.01337214024870662
STEEM,0.004435738648508055
STR,0.004626787460173643
STRAT,0.0035776827850612144
SYS,0.0016720927172423532
VIA,0.04820945730844643
VRC,0.04882239586546841
VTC,0.014001093688576015
XBC,0.0
XCP,0.014697937691863292
XEM,0.16801579163888744
XMR,0.02140016350675993
XPM,0.013995363081027593
XRP,0.008304819971401365
XVC,0.0
ZEC,0.009001021041435645
