,weight
AMP,0.013914419546915231
ARDR,0.0
BCN,0.009386359697412288
BCY,0.013133689483156616
BELA,0.04969399057664949
BLK,0.0
BTC,0.005023442249760099
BTCD,0.005331314489980472
BTM,0.02783249403069061
BTS,0.0071965412971112
BURST,0.0
CLAM,0.009959249014849542
DASH,0.0012700942314668097
DCR,0.002849975211378666
DGB,0.012060920709407893
DOGE,0.008590159320119016
EMC2,0.0
ETC,0.0
ETH,0.008046093028672334
EXP,0.0024134684379225695
FCT,0.0
FLDC,0.0
FLO,0.0
GAME,0.04086695374092548
GRC,0.02776193670858734
HUC,0.008694942746095346
LBC,0.0029336678300796127
LSK,0.03137481241432284
LTC,0.0
MAID,0.009641936445852027
NAV,0.0162040288880965
NEOS,0.013574032985448924
NMC,0.0029633832894072195
NXC,0.0012423178865505358
NXT,0.010507020924555759
OMNI,0.10775703442169184
PINK,0.0
POT,0.05034006824187994
PPC,0.027264894676128516
RADS,0.0
REP,0.012448249264402182
RIC,0.1675254412499373
SBD,0.1746396289456096
SC,0.015531995001249507
STEEM,0.004306714346527505
STR,0.008544315423577756
STRAT,0.0013294693271313942
SYS,0.012677310092293014
VIA,0.0
VRC,0.0
VTC,0.003503331166268923
XBC,0.0025608730845008715
XCP,0.02299223235388487
XEM,0.0
XMR,0.019383868027207853
XPM,0.0030895318632773545
XRP,0.003111066683682151
XVC,0.009438630583006261
ZEC,0.011088100062328757
