,weight
AMP,0.01234807514102929
ARDR,0.003256947782665449
BCN,0.0018545287326122539
BCY,0.007019506366506099
BELA,0.012894637714909328
BLK,0.0200779373237256
BTC,0.0073575121232197106
BTCD,0.0
BTM,0.010978880828325172
BTS,0.012402543924224288
BURST,0.06168889041014762
CLAM,0.013151465241881495
DASH,0.013427002104753984
DCR,0.0
DGB,0.01036615007758967
DOGE,0.011625491091234355
EMC2,0.05156475082024081
ETC,0.0
ETH,0.006307630676433534
EXP,0.012415674907521095
FCT,0.00759912013860457
FLDC,0.004967020119440007
FLO,0.00784863738379407
GAME,0.06291500279155002
GRC,0.0
HUC,0.005008389944015675
LBC,0.011826990361910625
LSK,0.020371986181242613
LTC,0.017033998653927504
MAID,0.012515975331842748
NAV,0.021946289897859503
NEOS,0.013110961814661315
NMC,0.01406632112758062
NXC,0.016080480327197135
NXT,0.0
OMNI,0.01542350185857228
PINK,0.010983635194632559
POT,0.023546964638079787
PPC,0.04578667847947962
RADS,0.018915702921973247
REP,0.012560470591833666
RIC,0.0
SBD,0.032803323752644734
SC,0.007587693387468558
STEEM,0.021250128803577382
STR,0.0173398827936013
STRAT,0.008362846378105549
SYS,0.029629332002086534
VIA,0.12377449906273529
VRC,0.033620167680163966
VTC,0.0
XBC,0.0
XCP,0.022100392645871932
XEM,0.0
XMR,0.025096593773467665
XPM,0.03527319844039769
XRP,0.00983943501395807
XVC,0.022076753240704024
ZEC,0.0
