,weight
AMP,0.02684608389744685
ARDR,0.006407558106199934
BCN,0.00060756339211775
BCY,0.0081942782296565
BELA,0.011103616718968258
BLK,0.010935246600045028
BTC,0.0074362710436132705
BTCD,0.0
BTM,0.0
BTS,0.03512152216145285
BURST,0.0
CLAM,0.01265833181718537
DASH,0.005349298490447391
DCR,0.0006981249494388886
DGB,0.0
DOGE,0.005583132973844833
EMC2,0.0
ETC,0.0
ETH,0.010481012241496194
EXP,0.0021597496825209116
FCT,0.02481346297515193
FLDC,0.006410784574419469
FLO,0.0055455885395970465
GAME,0.11146534827589429
GRC,0.00020388407421820012
HUC,0.004101296360005358
LBC,0.007556407151904831
LSK,0.06553154934019491
LTC,0.2550352918674364
MAID,0.009705768789234103
NAV,0.014749770748347296
NEOS,0.01510469407724877
NMC,0.018962999372189676
NXC,0.0028940102313934025
NXT,0.0
OMNI,0.02678256470478143
PINK,0.0
POT,0.016928856435305333
PPC,0.0
RADS,0.013314098813428009
REP,0.0034990633974513467
RIC,0.09409915843205921
SBD,0.02912307515773881
SC,0.01229758226373459
STEEM,0.0
STR,0.0
STRAT,0.00419107326052651
SYS,0.013909976816064798
VIA,0.029305902726011197
VRC,0.015916885658375665
VTC,0.0
XBC,0.013027840133839442
XCP,0.0
XEM,0.0
XMR,0.0
XPM,0.0012882548553562957
XRP,0.00951421033038964
XVC,0.0
ZEC,0.031138810333268038
