,weight
AMP,2.0406551012105572e-11
ARDR,0.005544008293519506
BCN,6.7203654750026695e-12
BCY,0.016004441463627277
BELA,0.0783218435710262
BLK,0.011384540706522898
BTC,0.015573534619549734
BTCD,0.002574620328193582
BTM,0.11901411006454586
BTS,0.027260001594154978
BURST,0.003754192364268286
CLAM,0.03307783089872473
DASH,0.029159044054219055
DCR,0.002572283234757464
DGB,8.546314237865495e-11
DOGE,4.6040293885137906e-11
EMC2,9.002869052576042e-11
ETC,3.516840572606078e-11
ETH,0.012057033183320904
EXP,3.888888680553946e-11
FCT,0.0960677009752981
FLDC,0.04490227653547874
FLO,0.036941411859546844
GAME,0.022786321249138743
GRC,0.007085005075145857
HUC,4.526281695428371e-11
LBC,0.0007851533071041887
LSK,0.0017638090101150066
LTC,0.011379054456342104
MAID,1.9736305913907816e-10
NAV,7.683945043483582e-12
NEOS,0.06790575722648162
NMC,0.020171391481023735
NXC,0.07026421830852995
NXT,2.171110466863902e-11
OMNI,0.010928870825208195
PINK,1.978993268775681e-12
POT,0.033402678342594895
PPC,0.03683218794430357
RADS,0.005626599382893072
REP,0.026456680071065785
RIC,0.007198044633051758
SBD,0.0009997361660728891
SC,1.2253412527048687e-11
STEEM,0.008740647062485847
STR,1.3310623211719168e-10
STRAT,0.04069030896758121
SYS,3.2172498898405954e-11
VIA,1.0127543491441985e-10
VRC,0.006675184820462911
VTC,0.030125298905556184
XBC,0.01586171026641106
XCP,7.50592624581348e-11
XEM,5.739456293777946e-11
XMR,6.106734184524528e-11
XPM,2.8448951873894104e-11
XRP,2.3141879545943514e-11
XVC,0.03422702361118779
ZEC,0.0058854440198536665
