,weight
AMP,0.026022417966163808
ARDR,0.0009243509482055641
BCN,0.004636873654327272
BCY,0.0005588788725396977
BELA,0.033604119760982064
BLK,0.012032734888310906
BTC,0.006515731587283582
BTCD,0.025530005102842087
BTM,0.005076458453164145
BTS,0.03185326676113992
BURST,0.0
CLAM,0.014376595519472976
DASH,0.006333663428659381
DCR,0.007576618564848455
DGB,0.03150695630180318
DOGE,0.019746802731888568
EMC2,0.03372527751072183
ETC,0.0
ETH,0.0024579896848413688
EXP,0.0
FCT,0.02000156081665299
FLDC,0.026951091103197593
FLO,0.0
GAME,0.0
GRC,0.0
HUC,0.010338641561471813
LBC,0.009999433278029903
LSK,0.014655614196215123
LTC,0.0
MAID,0.005123279103810129
NAV,0.012249709467295642
NEOS,0.01030970712717286
NMC,0.003936491428149565
NXC,0.0009261608265066354
NXT,0.027982697241530102
OMNI,0.08841612927641768
PINK,0.010753825369361739
POT,0.000763852620005634
PPC,0.0
RADS,0.006048578291782904
REP,0.004125644704849902
RIC,0.2666246441325697
SBD,0.0
SC,0.010859152588596679
STEEM,0.013307680870004317
STR,0.009407952102792801
STRAT,0.015898443366973866
SYS,0.009155461395774332
VIA,0.029805124848598083
VRC,0.023494846377223638
VTC,0.023475900826597926
XBC,0.0
XCP,0.0
XEM,0.0
XMR,0.0018446456346024923
XPM,0.0
XRP,0.03680704275800134
XVC,0.0442579469486198
ZEC,0.0
