,weight
AMP,0.0008972197766882945
ARDR,0.006087061980650825
BCN,0.01966440884067773
BCY,0.0227549089570699
BELA,0.03568524808095093
BLK,0.00326925317400472
BTC,0.0
BTCD,0.02151671735181633
BTM,0.008005393673761628
BTS,0.0074134193708158885
BURST,0.008077875202053409
CLAM,0.0002488899458490245
DASH,0.0
DCR,0.021140909974817244
DGB,0.0019474878280416287
DOGE,0.017289189660418817
EMC2,0.023104826489230817
ETC,0.0
ETH,0.006698042244321392
EXP,0.015974768239427187
FCT,0.0
FLDC,0.028570741303246598
FLO,0.008506059276296982
GAME,0.0
GRC,0.01245999125944326
HUC,0.0
LBC,0.00684681945783774
LSK,0.014989356539142277
LTC,0.05628274524758673
MAID,0.020512795280276476
NAV,0.10373551645067344
NEOS,0.0
NMC,0.004315304532674413
NXC,0.03194475205392991
NXT,0.03766019930267498
OMNI,0.0
PINK,0.021225511488625705
POT,0.03334029645251417
PPC,0.04906608430624181
RADS,0.017000554798296645
REP,0.003314883476619602
RIC,0.019686072582905615
SBD,0.0
SC,0.006836696467864267
STEEM,0.013932998174155862
STR,0.01144929613181498
STRAT,0.004663904152331556
SYS,0.0
VIA,0.1499286037760531
VRC,0.0
VTC,0.018039078215651632
XBC,0.0
XCP,0.09763612746611978
XEM,0.0005016410982640513
XMR,0.001213345216725413
XPM,0.0
XRP,0.0
XVC,0.006565004701437213
ZEC,0.0
