,weight
AMP,0.0
ARDR,0.03383075742660764
BCN,0.011097355223280798
BCY,0.0
BELA,0.0
BLK,0.016364041068737976
BTC,0.010674780950761917
BTCD,0.057207243664784184
BTM,0.0
BTS,0.024192719799871452
BURST,0.0639991139731902
CLAM,0.0
DASH,0.015493527279564226
DCR,0.012220656571062975
DGB,0.004473615331817083
DOGE,0.02165263541726961
EMC2,0.0
ETC,0.03208481024637272
ETH,0.017493890415932127
EXP,0.006617094243999158
FCT,0.0986121531985994
FLDC,0.009822755192877751
FLO,0.009556196468910361
GAME,0.0
GRC,0.004416101558825472
HUC,0.007615888744845663
LBC,0.006970047314987238
LSK,0.029884468548216272
LTC,0.018472839112567373
MAID,0.012683668297129835
NAV,0.02976485619366878
NEOS,0.0
NMC,0.0014183184341988947
NXC,0.011561460607536619
NXT,0.000821473077202234
OMNI,0.0
PINK,0.00030674880244881673
POT,0.014169431776259046
PPC,0.0
RADS,0.0
REP,0.008526856727233552
RIC,0.05904785551710309
SBD,0.0
SC,0.03378988288177666
STEEM,0.010968949894093317
STR,0.004494376237778286
STRAT,0.0
SYS,0.016162910259928918
VIA,0.06943303280348735
VRC,0.0
VTC,0.005554269125127755
XBC,0.00610605641572622
XCP,0.016564368373571475
XEM,0.054566725005162714
XMR,0.020005366709070674
XPM,0.0
XRP,0.0042353661732665105
XVC,0.010084212968574346
ZEC,0.0969811219665733
