,codeA,codeB,prcCor,rtnCor,volCor,sum
691,DGB,SC,0.9841107474456848,0.6540132336825157,0.8677408957310752,2.5058648768592757
1307,NMC,PPC,0.9885290763955198,0.8025559733336409,0.6184971562922635,2.4095822060214243
370,BTCD,XBC,0.8260660862945074,0.7331805373932588,0.7833980202432925,2.3426446439310586
694,DGB,STRAT,0.9799400164442863,0.501860156833647,0.8080656594850631,2.2898658327629966
920,FCT,MAID,0.935990241769016,0.7056703614962249,0.6373946033824961,2.2790552066477368
88,ARDR,NXT,0.963592022248158,0.6586584588692794,0.644769996608346,2.2670204777257834
792,ETC,ETH,0.9759877444969579,0.6598429793997534,0.6087856964797005,2.2446164203764116
124,BCN,DOGE,0.9682684848834426,0.470056255410082,0.8036372035115621,2.241961943805087
488,BURST,FLO,0.9521711671044275,0.5362259171205374,0.7505924205972736,2.2389895048222384
277,BLK,BTS,0.9785670736385337,0.5734847462462437,0.686451179161372,2.2385029990461494
734,DOGE,SC,0.9810622993037835,0.5957721649352499,0.6545419174412754,2.2313763816803087
1535,SC,STRAT,0.9629745847744473,0.5440958223936175,0.7119080986166035,2.2189785057846683
935,FCT,STEEM,0.9688610753654345,0.5430325243593701,0.7031169680588152,2.2150105677836196
1572,STR,XRP,0.941104738571334,0.5746599452363012,0.6533535114890042,2.1691181952966394
1536,SC,SYS,0.9525126899042284,0.5632205927068115,0.6352866837163407,2.1510199663273806
1112,HUC,STRAT,0.9400237232704,0.5328619088530445,0.6665341570083266,2.139419789131771
872,ETH,ZEC,0.9749646742191389,0.5730948015173951,0.5705305532707383,2.1185900290072723
152,BCN,SC,0.9837732532339583,0.5052387172100902,0.6242567642250584,2.1132687346691066
643,DCR,RADS,0.9622779267159958,0.4570894946601664,0.6906582449251225,2.1100256663012846
821,ETC,SYS,0.9698057482681713,0.44935230905571755,0.6820777376684017,2.1012357949922906
938,FCT,SYS,0.9677519873384879,0.5721190559000531,0.536080784781165,2.075951828019706
